No.,Company Name,Stock Price,Market Cap,Symbol,Industry
1547,GitLab Inc.,20.35,3.46B,GTLB,Software - Infrastructure
1548,"Miami International Holdings, Inc.",37.31,3.46B,MIAX,Capital Markets
1549,MakeMyTrip Limited,36.3,3.45B,MMYT,Travel Services
1550,NewAmsterdam Pharma Company N.V.,29.98,3.45B,NAMS,Biotechnology
1551,"Academy Sports and Outdoors, Inc.",53.51,3.45B,ASO,Specialty Retail
1552,VEON Ltd.,46.54,3.44B,VEON,Telecom Services
1553,Anbio Biotechnology,23.92,3.44B,NNNN,Medical Instruments & Supplies
1554,Sprott Inc.,135.34,3.44B,SII,Asset Management
1555,"Brighthouse Financial, Inc.",59.98,3.43B,BHF,Insurance - Life
1556,Kadant Inc.,290.66,3.43B,KAI,Specialty Industrial Machinery
1557,Victoria's Secret & Co.,42.47,3.42B,VSCO,Apparel Retail
1558,"Inter & Co, Inc.",7.71,3.40B,INTR,Banks - Regional
1559,monday.com Ltd.,66.47,3.40B,MNDY,Software - Application
1560,"TransMedics Group, Inc.",99.05,3.40B,TMDX,Medical Devices
1561,"Alignment Healthcare, Inc.",16.62,3.40B,ALHC,Healthcare Plans
1562,"Kulicke and Soffa Industries, Inc.",64.68,3.38B,KLIC,Semiconductor Equipment & Materials
1563,LivaNova PLC,61.85,3.38B,LIVN,Medical Devices
1564,"Bath & Body Works, Inc.",16.8,3.38B,BBWI,Specialty Retail
1565,Garrett Motion Inc.,17.76,3.37B,GTX,Auto Parts
1566,"AXT, Inc.",60.63,3.37B,AXTI,Semiconductor Equipment & Materials
1567,Skeena Resources Limited,27.62,3.36B,SKE,Other Industrial Metals & Mining
1568,Centerra Gold Inc.,16.77,3.35B,CGAU,Gold
1569,StoneCo Ltd.,13.46,3.35B,STNE,Software - Infrastructure
1570,Herc Holdings Inc.,100.34,3.35B,HRI,Rental & Leasing Services
1571,WSFS Financial Corporation,63.46,3.35B,WSFS,Banks - Regional
1572,"Commvault Systems, Inc.",76.08,3.35B,CVLT,Software - Application
1573,"Cactus, Inc.",48.39,3.33B,WHD,Oil & Gas Equipment & Services
1574,"CarGurus, Inc.",35.01,3.33B,CARG,Auto & Truck Dealerships
1575,Mechanics Bancorp,14.37,3.33B,MCHB,Banks - Regional
1576,"First Interstate BancSystem, Inc.",32.81,3.32B,FIBK,Banks - Regional
1577,"Oscar Health, Inc.",11.14,3.32B,OSCR,Healthcare Plans
1578,Kilroy Realty Corporation,27.98,3.32B,KRC,REIT - Office
1579,Renasant Corporation,35.19,3.31B,RNST,Banks - Regional
1580,Baytex Energy Corp.,4.33,3.31B,BTE,Oil & Gas Exploration & Production
1581,"Edgewise Therapeutics, Inc.",30.84,3.31B,EWTX,Biotechnology
1582,WPP plc,15.33,3.31B,WPP,Advertising Agencies
1583,PJT Partners Inc.,136.5,3.30B,PJT,Capital Markets
1584,"Calix, Inc.",50.28,3.30B,CALX,Software - Infrastructure
1585,Olin Corporation,29.01,3.30B,OLN,Chemicals
1586,Perpetua Resources Corp.,26.46,3.30B,PPTA,Other Precious Metals & Mining
1587,AllianceBernstein Holding L.P.,35.66,3.29B,AB,Asset Management
1588,Workiva Inc.,57.83,3.29B,WK,Software - Application
1589,Brookdale Senior Living Inc.,13.82,3.29B,BKD,Medical Care Facilities
1590,Avista Corporation,39.94,3.29B,AVA,Utilities - Diversified
1591,Griffon Corporation,70.52,3.28B,GFF,Building Products & Equipment
1592,"F&G Annuities & Life, Inc.",24.2,3.28B,FG,Insurance - Life
1593,NuScale Power Corporation,10.3,3.28B,SMR,Specialty Industrial Machinery
1594,"BankUnited, Inc.",44.51,3.28B,BKU,Banks - Regional
1595,Shake Shack Inc.,81.32,3.27B,SHAK,Restaurants
1596,Cathay General Bancorp,48.85,3.27B,CATY,Banks - Regional
1597,First BanCorp.,20.86,3.27B,FBP,Banks - Regional
1598,Avient Corporation,35.55,3.26B,AVNT,Specialty Chemicals
1599,Structure Therapeutics Inc.,45.92,3.25B,GPCR,Biotechnology
1600,"Enova International, Inc.",129.71,3.24B,ENVA,Credit Services
1601,Ondas Inc.,8.8,3.24B,ONDS,Communication Equipment
1602,The Chemours Company,21.6,3.24B,CC,Specialty Chemicals
1603,"Cinemark Holdings, Inc.",28.06,3.24B,CNK,Entertainment
1604,"BETA Technologies, Inc.",14.1,3.24B,BETA,Aerospace & Defense
1605,Korn Ferry,62.35,3.24B,KFY,Staffing & Employment Services
1606,Polibeli Group Ltd,8.7,3.23B,PLBL,Department Stores
1607,Cellebrite DI Ltd.,12.95,3.23B,CLBT,Software - Infrastructure
1608,SunocoCorp LLC,62.69,3.23B,SUNC,Oil & Gas Midstream
1609,"Golub Capital BDC, Inc.",12.26,3.23B,GBDC,Asset Management
1610,H.B. Fuller Company,59.17,3.22B,FUL,Specialty Chemicals
1611,"Par Pacific Holdings, Inc.",65.67,3.22B,PARR,Oil & Gas Refining & Marketing
1612,"Black Stone Minerals, L.P.",15.15,3.22B,BSM,Oil & Gas Exploration & Production
1613,KB Home,50.91,3.22B,KBH,Residential Construction
1614,Legence Corp.,54.75,3.21B,LGN,Engineering & Construction
1615,"WesBanco, Inc.",33.37,3.21B,WSBC,Banks - Regional
1616,"BillionToOne, Inc.",69.55,3.20B,BLLN,Diagnostics & Research
1617,"Box, Inc.",23.07,3.19B,BOX,Software - Infrastructure
1618,"Perimeter Solutions, Inc.",21.34,3.19B,PRM,Specialty Chemicals
1619,"Red Rock Resorts, Inc.",53.89,3.19B,RRR,Resorts & Casinos
1620,Neptune Insurance Holdings Inc.,23.03,3.18B,NP,Insurance Brokers
1621,"Blackstone Mortgage Trust, Inc.",18.85,3.18B,BXMT,REIT - Mortgage
1622,"Hawkins, Inc.",152.12,3.18B,HWKN,Specialty Chemicals
1623,"Exponent, Inc.",64.47,3.18B,EXPO,Engineering & Construction
1624,"Remitly Global, Inc.",15.01,3.16B,RELY,Software - Infrastructure
1625,NCR Atleos Corporation,42.92,3.16B,NATL,Software - Application
1626,Constellium SE,23.37,3.16B,CSTM,Aluminum
1627,"Dorman Products, Inc.",104.56,3.16B,DORM,Auto Parts
1628,ZIM Integrated Shipping Services Ltd.,26.19,3.16B,ZIM,Marine Shipping
1629,Alumis Inc.,24.8,3.15B,ALMS,Biotechnology
1630,Kinetik Holdings Inc.,48.58,3.14B,KNTK,Oil & Gas Midstream
1631,Diodes Incorporated,68.2,3.13B,DIOD,Semiconductors
1632,"Cohen & Steers, Inc.",60.83,3.13B,CNS,Asset Management
1633,"SolarEdge Technologies, Inc.",51.76,3.12B,SEDG,Solar
1634,"Palomar Holdings, Inc.",116.83,3.12B,PLMR,Insurance - Property & Casualty
1635,Telix Pharmaceuticals Limited,9.2,3.12B,TLX,Biotechnology
1636,"Americold Realty Trust, Inc.",10.94,3.12B,COLD,REIT - Industrial
1637,National Beverage Corp.,33.26,3.11B,FIZZ,Beverages - Non-Alcoholic
1638,"Bread Financial Holdings, Inc.",72.13,3.11B,BFH,Credit Services
1639,Legend Biotech Corporation,16.8,3.11B,LEGN,Biotechnology
1640,"Genworth Financial, Inc.",7.99,3.10B,GNW,Insurance - Life
1641,"Life360, Inc.",38.6,3.10B,LIF,Software - Application
1642,WillScot Holdings Corporation,17.11,3.09B,WSC,Rental & Leasing Services
1643,"Advance Auto Parts, Inc.",51.57,3.09B,AAP,Auto Parts
1644,Denison Mines Corp.,3.41,3.09B,DNN,Uranium
1645,"Tootsie Roll Industries, Inc.",42.36,3.09B,TR,Confectioners
1646,Liquidia Corporation,35.03,3.09B,LQDA,Drug Manufacturers - Specialty & Generic
1647,Hilton Grand Vacations Inc.,37.88,3.08B,HGV,Resorts & Casinos
1648,Marex Group plc,42.96,3.08B,MRX,Capital Markets
1649,"Nicolet Bankshares, Inc.",144.22,3.08B,NIC,Banks - Regional
1650,"Lucid Group, Inc.",9.4,3.08B,LCID,Auto Manufacturers
1651,"Paymentus Holdings, Inc.",24.5,3.08B,PAY,Software - Infrastructure
1652,"Greif, Inc.",66.37,3.07B,GEF,Packaging & Containers
1653,"Solaris Energy Infrastructure, Inc.",57.83,3.07B,SEI,Oil & Gas Equipment & Services
1654,Polaris Inc.,54.13,3.07B,PII,Recreational Vehicles
1655,"ICU Medical, Inc.",124.19,3.07B,ICUI,Medical Instruments & Supplies
1656,"RingCentral, Inc.",35.36,3.06B,RNG,Software - Application
1657,"Qualys, Inc.",85.63,3.05B,QLYS,Software - Infrastructure
1658,"M/I Homes, Inc.",118.55,3.05B,MHO,Residential Construction
1659,"MARA Holdings, Inc.",8.02,3.05B,MARA,Capital Markets
1660,PVH Corp.,66.4,3.04B,PVH,Apparel Manufacturing
1661,"Netskope, Inc.",7.73,3.04B,NTSK,Software - Infrastructure
1662,Plug Power Inc.,2.18,3.04B,PLUG,Electrical Equipment & Parts
1663,Standex International Corporation,250.64,3.04B,SXI,Specialty Industrial Machinery
1664,"Navan, Inc.",12.21,3.04B,NAVN,Software - Application
1665,TowneBank,33.16,3.02B,TOWN,Banks - Regional
1666,NIQ Global Intelligence plc,10.22,3.02B,NIQ,Information Technology Services
1667,Hycroft Mining Holding Corporation,33.05,3.01B,HYMC,Gold
1668,"Northern Oil and Gas, Inc.",30.82,3.00B,NOG,Oil & Gas Exploration & Production
1669,"Community Financial System, Inc.",56.8,2.99B,CBU,Banks - Regional
1670,"Axcelis Technologies, Inc.",97.35,2.99B,ACLS,Semiconductor Equipment & Materials
1671,IAC Inc.,38.85,2.99B,IAC,Internet Content & Information
1672,"Impinj, Inc.",98.75,2.99B,PI,Semiconductors
1673,Chesapeake Utilities Corporation,124.14,2.97B,CPK,Utilities - Regulated Gas
1674,"First Hawaiian, Inc.",24.17,2.97B,FHB,Banks - Regional
1675,"Centuri Holdings, Inc.",29.38,2.96B,CTRI,Utilities - Regulated Gas
1676,Sunrun Inc.,12.6,2.94B,RUN,Solar
1677,LCI Industries,121.35,2.94B,LCII,Recreational Vehicles
1678,Integer Holdings Corporation,85.33,2.94B,ITGR,Medical Devices
1679,American States Water Company,75.1,2.94B,AWR,Utilities - Regulated Water
1680,Iridium Communications Inc.,27.96,2.93B,IRDM,Telecom Services
1681,Whirlpool Corporation,51.92,2.93B,WHR,"Furnishings, Fixtures & Appliances"
1682,Materion Corporation,141.39,2.93B,MTRN,Other Industrial Metals & Mining
1683,"DHT Holdings, Inc.",18.1,2.91B,DHT,Oil & Gas Midstream
1684,"DigitalBridge Group, Inc.",15.38,2.90B,DBRG,Asset Management
1685,"Interparfums, Inc.",90.53,2.90B,IPAR,Household & Personal Products
1686,Fortuna Mining Corp.,9.51,2.90B,FSM,Gold
1687,JOYY Inc.,56.42,2.90B,JOYY,Internet Content & Information
1688,Hesai Group,18.44,2.90B,HSAI,Auto Parts
1689,"CorporaciÃ³n Inmobiliaria Vesta, S.A.B. de C.V.",32.7,2.89B,VTMX,Real Estate - Development
1690,Accelerant Holdings,13.01,2.89B,ARX,Insurance Brokers
1691,Bank of Hawaii Corporation,72.69,2.88B,BOH,Banks - Regional
1692,Denali Therapeutics Inc.,18.16,2.88B,DNLI,Biotechnology
1693,Seacoast Banking Corporation of Florida,29.36,2.88B,SBCF,Banks - Regional
1694,Park National Corporation,158.83,2.87B,PRK,Banks - Regional
1695,Banco BBVA Argentina S.A.,14.02,2.86B,BBAR,Banks - Regional
1696,Columbia Sportswear Company,54.61,2.86B,COLM,Apparel Manufacturing
1697,National Storage Affiliates Trust,37.07,2.86B,NSA,REIT - Industrial
1698,"Catalyst Pharmaceuticals, Inc.",23.4,2.86B,CPRX,Biotechnology
1699,"Alpha Metallurgical Resources, Inc.",223.26,2.86B,AMR,Coking Coal
1700,"Hinge Health, Inc.",36.25,2.86B,HNGE,Health Information Services
1701,First Financial Bancorp.,27.25,2.85B,FFBC,Banks - Regional
1702,"Supernus Pharmaceuticals, Inc.",49.52,2.85B,SUPN,Drug Manufacturers - Specialty & Generic
1703,"OPENLANE, Inc.",26.75,2.84B,OPLN,Auto & Truck Dealerships
1704,"Delek Logistics Partners, LP",53.12,2.84B,DKL,Oil & Gas Refining & Marketing
1705,Andersen Group Inc.,25.41,2.84B,ANDG,Personal Services
1706,"Delek US Holdings, Inc.",47.43,2.84B,DK,Oil & Gas Refining & Marketing
1707,Seadrill Limited,45.41,2.84B,SDRL,Oil & Gas Drilling
1708,"Q2 Holdings, Inc.",45.42,2.83B,QTWO,Software - Application
1709,"Hayward Holdings, Inc.",13.23,2.83B,HAYW,Electrical Equipment & Parts
1710,"Dyne Therapeutics, Inc.",17.14,2.83B,DYN,Biotechnology
1711,"Tarsus Pharmaceuticals, Inc.",66.25,2.82B,TARS,Biotechnology
1712,Manchester United plc,16.35,2.82B,MANU,Entertainment
1713,Talos Energy Inc.,16.57,2.82B,TALO,Oil & Gas Exploration & Production
1714,"NMI Holdings, Inc.",36.86,2.80B,NMIH,Insurance - Specialty
1715,Prestige Consumer Healthcare Inc.,59.22,2.80B,PBH,Drug Manufacturers - Specialty & Generic
1716,"Viridian Therapeutics, Inc.",27.39,2.80B,VRDN,Biotechnology
1717,"Global Business Travel Group, Inc.",5.33,2.79B,GBTG,Travel Services
1718,"Intuitive Machines, Inc.",17.52,2.79B,LUNR,Aerospace & Defense
1719,"United Natural Foods, Inc.",45.93,2.79B,UNFI,Food Distribution
1720,"Kyndryl Holdings, Inc.",12.36,2.79B,KD,Information Technology Services
1721,"MGE Energy, Inc.",76.16,2.78B,MGEE,Utilities - Regulated Electric
1722,TORM plc,27.47,2.78B,TRMD,Oil & Gas Midstream
1723,"Calumet, Inc.",32.06,2.78B,CLMT,Specialty Chemicals
1724,Seabridge Gold Inc.,25.92,2.78B,SA,Gold
1725,FS KKR Capital Corp.,9.91,2.78B,FSK,Asset Management
1726,"Vera Therapeutics, Inc.",38.86,2.77B,VERA,Biotechnology
1727,"York Space Systems, Inc.",21.66,2.76B,YSS,Aerospace & Defense
1728,IHS Holding Limited,8.21,2.75B,IHS,Real Estate Services
1729,ATS Corporation,28.08,2.75B,ATS,Specialty Industrial Machinery
1730,Kennametal Inc.,36.08,2.75B,KMT,Tools & Accessories
1731,"Tango Therapeutics, Inc.",19.26,2.75B,TNGX,Biotechnology
1732,"Power Integrations, Inc.",49.5,2.75B,POWI,Semiconductors
1733,Simmons First National Corporation,18.96,2.75B,SFNC,Banks - Regional
1734,"Freshpet, Inc.",55.93,2.74B,FRPT,Packaged Foods
1735,The Western Union Company,8.73,2.74B,WU,Credit Services
1736,CorVel Corporation,53.49,2.74B,CRVL,Insurance Brokers
1737,Cushman & Wakefield Limited,11.8,2.74B,CWK,Real Estate Services
1738,"American Eagle Outfitters, Inc.",16.13,2.73B,AEO,Apparel Retail
1739,Titan America SA,14.82,2.73B,TTAM,Building Materials
1740,Twist Bioscience Corporation,44.53,2.73B,TWST,Diagnostics & Research
1741,Graphic Packaging Holding Company,9.23,2.73B,GPK,Packaging & Containers
1742,LXP Industrial Trust,46.12,2.72B,LXP,REIT - Industrial
1743,"Concentra Group Holdings Parent, Inc.",21.12,2.72B,CON,Medical Care Facilities
1744,Sable Offshore Corp.,18.45,2.72B,SOC,Oil & Gas Drilling
1745,WD-40 Company,201.21,2.71B,WDFC,Specialty Chemicals
1746,SL Green Realty Corp.,35.33,2.71B,SLG,REIT - Office
1747,"Apple Hospitality REIT, Inc.",11.49,2.71B,APLE,REIT - Hotel & Motel
1748,"Medical Properties Trust, Inc.",4.53,2.71B,MPT,REIT - Healthcare Facilities
1749,McGrath RentCorp,110.0,2.71B,MGRC,Rental & Leasing Services
1750,PagSeguro Digital Ltd.,9.65,2.70B,PAGS,Software - Infrastructure
1751,Curbline Properties Corp.,25.6,2.70B,CURB,REIT - Retail
1752,The Cheesecake Factory Incorporated,54.07,2.70B,CAKE,Restaurants
1753,"Provident Financial Services, Inc.",20.59,2.69B,PFS,Banks - Regional
1754,California Water Service Group,45.01,2.68B,CWT,Utilities - Regulated Water
1755,"The Vita Coco Company, Inc.",46.97,2.68B,COCO,Beverages - Non-Alcoholic
1756,"Ultra Clean Holdings, Inc.",58.87,2.68B,UCTT,Semiconductor Equipment & Materials
1757,"YETI Holdings, Inc.",35.57,2.68B,YETI,Leisure
1758,"IDEAYA Biosciences, Inc.",30.46,2.67B,IDYA,Biotechnology
1759,"Green Brick Partners, Inc.",61.9,2.67B,GRBK,Residential Construction
1760,Lionsgate Studios Corp.,9.19,2.67B,LION,Entertainment
1761,Synaptics Incorporated,68.71,2.66B,SYNA,Semiconductors
1762,Boise Cascade Company,74.43,2.66B,BCC,Lumber & Wood Production
1763,FB Financial Corporation,51.21,2.65B,FBK,Banks - Regional
1764,KT Corporation,21.53,2.65B,KT,Telecom Services
1765,"Diebold Nixdorf, Incorporated",75.01,2.64B,DBD,Software - Application
1766,Adeia Inc.,24.19,2.64B,ADEA,Software - Application
1767,"Newmark Group, Inc.",14.3,2.64B,NMRK,Real Estate Services
1768,WeRide Inc.,6.96,2.64B,WRD,Software - Application
1769,"ACM Research, Inc.",40.07,2.63B,ACMR,Semiconductor Equipment & Materials
1770,Madison Square Garden Entertainment Corp.,55.7,2.63B,MSGE,Leisure
1771,"Arcutis Biotherapeutics, Inc.",21.22,2.63B,ARQT,Biotechnology
1772,Formula Systems (1985) Ltd.,121.25,2.63B,FORTY,Information Technology Services
1773,Enerflex Ltd.,21.55,2.62B,EFXT,Oil & Gas Equipment & Services
1774,Ermenegildo Zegna N.V.,9.76,2.62B,ZGN,Apparel Manufacturing
1775,Ero Copper Corp.,25.05,2.61B,ERO,Copper
1776,"Braze, Inc.",23.0,2.61B,BRZE,Software - Application
1777,"Four Corners Property Trust, Inc.",23.71,2.60B,FCPT,REIT - Retail
1778,RLX Technology Inc.,2.12,2.58B,RLX,Tobacco
1779,CVB Financial Corp.,18.99,2.58B,CVBF,Banks - Regional
1780,"Atlanta Braves Holdings, Inc.",46.19,2.57B,BATRA,Entertainment
1781,"Euronet Worldwide, Inc.",65.08,2.56B,EEFT,Software - Infrastructure
1782,"Hercules Capital, Inc.",13.89,2.55B,HTGC,Asset Management
1783,PHINIA Inc.,67.11,2.54B,PHIN,Auto Parts
1784,"Arcus Biosciences, Inc.",20.28,2.54B,RCUS,Biotechnology
1785,"Banc of California, Inc.",16.89,2.54B,BANC,Banks - Regional
1786,"Hawaiian Electric Industries, Inc.",14.67,2.53B,HE,Utilities - Regulated Electric
1787,BW LPG Limited,16.72,2.53B,BWLP,Marine Shipping
1788,Endeavour Silver Corp.,8.9,2.53B,EXK,Silver
1789,Webull Corporation,4.82,2.52B,BULL,Software - Application
1790,"The Buckle, Inc.",49.28,2.52B,BKE,Apparel Retail
1791,Urban Edge Properties,20.0,2.52B,UE,REIT - Retail
1792,"Travere Therapeutics, Inc.",27.25,2.51B,TVTX,Biotechnology
1793,Robert Half Inc.,24.84,2.51B,RHI,Staffing & Employment Services
1794,"Worthington Enterprises, Inc.",50.7,2.51B,WOR,Metal Fabrication
1795,Haemonetics Corporation,54.04,2.51B,HAE,Medical Devices
1796,National HealthCare Corporation,161.03,2.50B,NHC,Medical Care Facilities
1797,Teekay Tankers Ltd.,72.45,2.50B,TNK,Oil & Gas Midstream
1798,"SoundHound AI, Inc.",5.9,2.49B,SOUN,Software - Application
1799,"McGraw Hill, Inc.",13.06,2.49B,MH,Education & Training Services
1800,"Varonis Systems, Inc.",21.21,2.49B,VRNS,Software - Infrastructure
1801,Ingevity Corporation,70.57,2.49B,NGVT,Specialty Chemicals
1802,"Trinity Industries, Inc.",31.19,2.49B,TRN,Railroads
1803,Warby Parker Inc.,20.33,2.49B,WRBY,Medical Instruments & Supplies
1804,"10x Genomics, Inc.",19.48,2.49B,TXG,Health Information Services
1805,Callaway Golf Company,13.5,2.49B,CALY,Leisure
1806,"Under Armour, Inc.",5.63,2.48B,UA,Apparel Manufacturing
1807,Star Bulk Carriers Corp.,22.25,2.48B,SBLK,Marine Shipping
1808,"The Andersons, Inc.",73.19,2.48B,ANDE,Food Distribution
1809,Artisan Partners Asset Management Inc.,35.13,2.48B,APAM,Asset Management
1810,"LifeStance Health Group, Inc.",6.32,2.46B,LFST,Medical Care Facilities
1811,"Privia Health Group, Inc.",20.02,2.46B,PRVA,Health Information Services
1812,Trustmark Corporation,41.81,2.46B,TRMK,Banks - Regional
1813,Acadia Realty Trust,18.77,2.46B,AKR,REIT - Retail
1814,"Dynex Capital, Inc.",12.17,2.46B,DX,REIT - Mortgage
1815,RH,130.85,2.46B,RH,Specialty Retail
1816,Beacon Financial Corporation,29.25,2.45B,BBT,Banks - Regional
1817,Mach Natural Resources LP,14.57,2.45B,MNR,Oil & Gas Exploration & Production
1818,HNI Corporation,34.38,2.45B,HNI,"Furnishings, Fixtures & Appliances"
1819,"Veradermics, Incorporated",65.53,2.45B,MANE,Biotechnology
1820,"FIGS, Inc.",14.7,2.45B,FIGS,Apparel Manufacturing
1821,"Under Armour, Inc.",5.74,2.44B,UAA,Apparel Manufacturing
1822,DRDGOLD Limited,28.07,2.43B,DRD,Gold
1823,SiriusPoint Ltd.,20.81,2.43B,SPNT,Insurance - Reinsurance
1824,Ashland Inc.,53.18,2.43B,ASH,Specialty Chemicals
1825,"Upstart Holdings, Inc.",24.77,2.43B,UPST,Credit Services
1826,"LeMaitre Vascular, Inc.",106.62,2.43B,LMAT,Medical Instruments & Supplies
1827,H2O America,57.97,2.42B,HTO,Utilities - Regulated Water
1828,NextNav Inc.,17.87,2.42B,NN,Software - Infrastructure
1829,"The Chefs' Warehouse, Inc.",59.52,2.42B,CHEF,Food Distribution
1830,Bel Fuse Inc.,203.53,2.42B,BELFB,Electronic Components
1831,"Steven Madden, Ltd.",33.11,2.41B,SHOO,Footwear & Accessories
1832,Bel Fuse Inc.,190.65,2.41B,BELFA,Electronic Components
1833,eToro Group Ltd.,29.05,2.41B,ETOR,Capital Markets
1834,"The Boston Beer Company, Inc.",229.76,2.40B,SAM,Beverages - Brewers
1835,First Merchants Corporation,37.85,2.40B,FRME,Banks - Regional
1836,"Veracyte, Inc.",30.01,2.38B,VCYT,Diagnostics & Research
1837,HUTCHMED (China) Limited,13.81,2.37B,HCM,Drug Manufacturers - Specialty & Generic
1838,Dave Inc.,174.95,2.37B,DAVE,Software - Application
1839,InvenTrust Properties Corp.,30.44,2.37B,IVT,REIT - Retail
1840,"Crane NXT, Co.",41.15,2.36B,CXT,Specialty Industrial Machinery
1841,Brightstar Lottery PLC,12.61,2.36B,BRSL,Gambling
1842,"WaFd, Inc.",31.05,2.36B,WAFD,Banks - Regional
1843,Visteon Corporation,87.83,2.36B,VC,Auto Parts
1844,Ardagh Metal Packaging S.A.,3.94,2.35B,AMBP,Packaging & Containers
1845,Trump Media & Technology Group Corp.,8.47,2.34B,DJT,Internet Content & Information
1846,"BioCryst Pharmaceuticals, Inc.",9.33,2.34B,BCRX,Drug Manufacturers - Specialty & Generic
1847,"Photronics, Inc.",39.6,2.34B,PLAB,Semiconductor Equipment & Materials
1848,Teradata Corporation,25.31,2.33B,TDC,Software - Infrastructure
1849,Perdoceo Education Corporation,37.23,2.33B,PRDO,Education & Training Services
1850,"Enliven Therapeutics, Inc.",38.83,2.32B,ELVN,Biotechnology
1851,"Customers Bancorp, Inc.",67.66,2.31B,CUBI,Banks - Regional
1852,Astronics Corporation,64.78,2.31B,ATRO,Aerospace & Defense
1853,"Vishay Intertechnology, Inc.",17.02,2.31B,VSH,Semiconductors
1854,Central Garden & Pet Company,37.02,2.31B,CENT,Packaged Foods
1855,Grindr Inc.,12.44,2.30B,GRND,Software - Application
1856,"NetScout Systems, Inc.",31.86,2.30B,NTCT,Software - Infrastructure
1857,"Disc Medicine, Inc.",60.09,2.29B,IRON,Biotechnology
1858,DENTSPLY SIRONA Inc.,11.47,2.29B,XRAY,Medical Instruments & Supplies
1859,"Mister Car Wash, Inc.",6.97,2.29B,MCW,Auto & Truck Dealerships
1860,First Bancorp,55.19,2.29B,FBNC,Banks - Regional
1861,"CSG Systems International, Inc.",80.31,2.29B,CSGS,Software - Infrastructure
1862,"StubHub Holdings, Inc.",6.41,2.29B,STUB,Internet Content & Information
1863,DNOW Inc.,12.25,2.28B,DNOW,Industrial Distribution
1864,"RXO, Inc.",13.88,2.28B,RXO,Trucking
1865,"VNET Group, Inc.",8.45,2.27B,VNET,Information Technology Services
1866,OneSpaWorld Holdings Limited,22.38,2.27B,OSW,Leisure
1867,Marriott Vacations Worldwide Corporation,66.08,2.27B,VAC,Resorts & Casinos
1868,"Highwoods Properties, Inc.",20.58,2.26B,HIW,REIT - Office
1869,Beam Therapeutics Inc.,22.19,2.26B,BEAM,Biotechnology
1870,Companhia EnergÃ©tica de Minas Gerais - CEMIG,2.35,2.25B,CIG,Utilities - Diversified
1871,Brookfield Business Corporation,32.08,2.25B,BBUC,Asset Management
1872,"The GEO Group, Inc.",16.71,2.25B,GEO,Security & Protection Services
1873,Freshworks Inc.,7.87,2.24B,FRSH,Software - Application
1874,Central Puerto S.A.,14.8,2.22B,CEPU,Utilities - Regulated Electric
1875,"Twenty One Capital, Inc.",6.41,2.22B,XXI,Shell Companies
1876,"Immunome, Inc.",19.61,2.22B,IMNM,Biotechnology
1877,"CleanSpark, Inc.",8.66,2.21B,CLSK,Capital Markets
1878,"Sonic Automotive, Inc.",65.93,2.21B,SAH,Auto & Truck Dealerships
1879,"Day One Biopharmaceuticals, Inc.",21.41,2.21B,DAWN,Biotechnology
1880,"Ambarella, Inc.",50.47,2.21B,AMBA,Semiconductor Equipment & Materials
1881,"Amprius Technologies, Inc.",16.12,2.21B,AMPX,Electrical Equipment & Parts
1882,"Oruka Therapeutics, Inc.",44.48,2.20B,ORKA,Biotechnology
1883,"ADMA Biologics, Inc.",9.25,2.20B,ADMA,Biotechnology
1884,Huntsman Corporation,12.66,2.20B,HUN,Chemicals
1885,Northwest Natural Holding Company,52.83,2.20B,NWN,Utilities - Regulated Gas
1886,Melco Resorts & Entertainment Limited,5.62,2.20B,MLCO,Resorts & Casinos
1887,ABM Industries Incorporated,37.49,2.19B,ABM,Specialty Business Services
1888,Minerals Technologies Inc.,70.52,2.19B,MTX,Specialty Chemicals
1889,NBT Bancorp Inc.,41.86,2.19B,NBTB,Banks - Regional
1890,Taseko Mines Limited,5.98,2.18B,TGB,Copper
1891,Phibro Animal Health Corporation,53.88,2.18B,PAHC,Drug Manufacturers - Specialty & Generic
1892,"Slide Insurance Holdings, Inc.",17.56,2.18B,SLDE,Insurance - Property & Casualty
1893,"Harley-Davidson, Inc.",19.47,2.18B,HOG,Recreational Vehicles
1894,"Genesis Energy, L.P.",17.78,2.18B,GEL,Oil & Gas Midstream
1895,CECO Environmental Corp.,60.95,2.17B,CECO,Pollution & Treatment Controls
1896,"The Bancorp, Inc.",51.48,2.17B,TBBK,Banks - Regional
1897,"Apellis Pharmaceuticals, Inc.",16.97,2.17B,APLS,Biotechnology
1898,National Energy Services Reunited Corp.,21.51,2.17B,NESR,Oil & Gas Equipment & Services
1899,"Rush Street Interactive, Inc.",20.98,2.16B,RSI,Gambling
1900,"Hub Group, Inc.",35.38,2.16B,HUBG,Integrated Freight & Logistics
1901,"Guardian Pharmacy Services, Inc.",34.16,2.16B,GRDN,Medical Care Facilities
1902,Quaker Chemical Corporation,124.76,2.16B,KWR,Specialty Chemicals
1903,Knowles Corporation,25.44,2.16B,KN,Electronic Components
1904,NextDecade Corporation,8.13,2.15B,NEXT,Oil & Gas Equipment & Services
1905,"BlackLine, Inc.",36.05,2.15B,BL,Software - Application
1906,Ascentage Pharma Group International,23.04,2.14B,AAPG,Biotechnology
1907,Silvercorp Metals Inc.,10.23,2.14B,SVM,Silver
1908,"Helios Technologies, Inc.",64.44,2.13B,HLIO,Specialty Industrial Machinery
1909,Veeco Instruments Inc.,35.27,2.13B,VECO,Semiconductor Equipment & Materials
