No.,Company Name,Stock Price,Market Cap,Symbol,Industry
31,Toyota Motor Corporation,206.73,326.53B,TM,Auto Manufacturers
32,The Coca-Cola Company,75.71,325.61B,KO,Beverages - Non-Alcoholic
33,Caterpillar Inc.,695.40,323.56B,CAT,Farm & Heavy Construction Machinery
34,"The Home Depot, Inc.",321.65,320.37B,HD,Home Improvement Retail
35,"Cisco Systems, Inc.",79.92,315.68B,CSCO,Communication Equipment
36,GE Aerospace,282.81,296.61B,GE,Aerospace & Defense
37,"Merck & Co., Inc.",119.63,295.77B,MRK,Drug Manufacturers - General
38,Alibaba Group Holding Limited,122.69,292.91B,BABA,Internet Retail
39,Novartis AG,148.18,282.75B,NVS,Drug Manufacturers - General
40,HSBC Holdings plc,79.19,272.02B,HSBC,Banks - Diversified
41,Shell plc,92.17,271.48B,SHEL,Oil & Gas Integrated
42,"Applied Materials, Inc.",337.17,267.38B,AMAT,Semiconductor Equipment & Materials
43,Lam Research Corporation,211.41,264.00B,LRCX,Semiconductor Equipment & Materials
44,RTX Corporation,189.71,254.65B,RTX,Aerospace & Defense
45,Philip Morris International Inc.,163.54,254.58B,PM,Tobacco
46,Morgan Stanley,158.39,251.50B,MS,Capital Markets
47,"The Goldman Sachs Group, Inc.",802.89,238.26B,GS,Capital Markets
48,Wells Fargo & Company,77.19,238.18B,WFC,Banks - Diversified
49,UnitedHealth Group Incorporated,259.02,235.11B,UNH,Healthcare Plans
50,"T-Mobile US, Inc.",210.82,232.29B,TMUS,Telecom Services
51,GE Vernova Inc.,853.16,229.95B,GEV,Specialty Industrial Machinery
52,Linde plc,491.12,227.58B,LIN,Specialty Chemicals
53,Royal Bank of Canada,158.21,223.90B,RY,Banks - Diversified
54,International Business Machines Corporation,236.34,221.70B,IBM,Information Technology Services
55,McDonald's Corporation,305.90,217.31B,MCD,Restaurants
56,Intel Corporation,43.13,215.39B,INTC,Semiconductors
57,Verizon Communications Inc.,50.31,212.19B,VZ,Telecom Services
58,"PepsiCo, Inc.",153.04,209.15B,PEP,Beverages - Non-Alcoholic
59,AT&T Inc.,29.10,203.72B,T,Telecom Services
60,American Express Company,292.27,200.68B,AXP,Credit Services
61,TotalEnergies SE,89.87,193.09B,TTE,Oil & Gas Integrated
62,SAP SE,164.02,191.58B,SAP,Software - Application
63,"NextEra Energy, Inc.",91.40,190.43B,NEE,Utilities - Regulated Electric
64,KLA Corporation,"1,443.21",189.17B,KLAC,Semiconductor Equipment & Materials
65,Amgen Inc.,348.77,188.01B,AMGN,Drug Manufacturers - General
66,Citigroup Inc.,107.38,187.84B,C,Banks - Diversified
67,"Fomento EconÃ³mico Mexicano, S.A.B. de C.V.",107.57,186.06B,FMX,Beverages - Brewers
68,"Mitsubishi UFJ Financial Group, Inc.",16.33,185.10B,MUFG,Banks - Diversified
69,Abbott Laboratories,103.99,180.70B,ABT,Medical Devices
70,"Grupo Televisa, S.A.B.",2.860,177.96B,TV,Telecom Services
71,BHP Group Limited,69.50,176.37B,BHP,Other Industrial Metals & Mining
72,Thermo Fisher Scientific Inc.,473.36,175.85B,TMO,Diagnostics & Research
73,Texas Instruments Incorporated,190.33,172.73B,TXN,Semiconductors
74,"The TJX Companies, Inc.",155.12,172.26B,TJX,Apparel Retail
75,"Gilead Sciences, Inc.",134.25,166.66B,GILD,Drug Manufacturers - General
76,"Salesforce, Inc.",179.31,165.50B,CRM,Software - Application
77,The Walt Disney Company,92.42,163.72B,DIS,Entertainment
78,ConocoPhillips,133.80,163.55B,COP,Oil & Gas Exploration & Production
79,The Charles Schwab Corporation,92.36,161.83B,SCHW,Capital Markets
80,Novo Nordisk A/S,36.04,160.92B,NVO,Drug Manufacturers - General
81,"Intuitive Surgical, Inc.",452.66,160.75B,ISRG,Medical Instruments & Supplies
82,"Banco Santander, S.A.",10.65,156.44B,SAN,Banks - Diversified
83,"CEMEX, S.A.B. de C.V.",10.75,155.96B,CX,Building Materials
84,Pfizer Inc.,27.04,153.76B,PFE,Drug Manufacturers - General
85,Arm Holdings plc,144.13,153.07B,ARM,Semiconductors
86,Deere & Company,566.64,153.05B,DE,Farm & Heavy Construction Machinery
87,The Toronto-Dominion Bank,91.37,152.62B,TD,Banks - Diversified
88,Amphenol Corporation,123.62,151.96B,APH,Electronic Components
89,"Arista Networks, Inc.",120.77,151.75B,ANET,Computer Hardware
90,"Analog Devices, Inc.",307.44,150.09B,ADI,Semiconductors
91,The Boeing Company,190.52,149.62B,BA,Aerospace & Defense
92,Shopify Inc.,111.85,145.86B,SHOP,Software - Application
93,"BlackRock, Inc.",933.85,145.25B,BLK,Asset Management
94,"Uber Technologies, Inc.",69.18,142.38B,UBER,Software - Application
95,Honeywell International Inc.,223.12,141.83B,HON,Conglomerates
96,Union Pacific Corporation,238.79,141.70B,UNP,Railroads
97,Lockheed Martin Corporation,615.84,141.69B,LMT,Aerospace & Defense
98,PDD Holdings Inc.,99.81,138.95B,PDD,Internet Retail
