No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
1,EYE,"National Vision Holdings, Inc.",2.00B,25.14
2,ATKR,Atkore Inc.,2.00B,59.13
3,ZLAB,Zai Lab Limited,1.99B,18.00
4,GRAL,"GRAIL, Inc.",1.99B,48.49
5,FDP,Fresh Del Monte Produce Inc.,1.99B,41.91
6,INTA,"Intapp, Inc.",1.98B,24.68
7,BHE,"Benchmark Electronics, Inc.",1.98B,55.61
8,AGYS,"Agilysys, Inc.",1.98B,70.37
9,ATHM,Autohome Inc.,1.98B,16.92
10,PLUS,ePlus inc.,1.98B,74.86
11,IMAX,IMAX Corporation,1.97B,36.55
12,NKTR,Nektar Therapeutics,1.97B,68.66
13,FMC,FMC Corporation,1.97B,15.76
14,WT,"WisdomTree, Inc.",1.97B,13.90
15,GNL,"Global Net Lease, Inc.",1.96B,9.17
16,KOD,Kodiak Sciences Inc.,1.96B,37.00
17,EFSC,Enterprise Financial Services Corp,1.96B,53.31
18,HCI,"HCI Group, Inc.",1.96B,150.49
19,TYRA,"Tyra Biosciences, Inc.",1.95B,36.29
20,GLOB,Globant S.A.,1.95B,44.52
21,MLYS,"Mineralys Therapeutics, Inc.",1.95B,23.68
22,XMTR,"Xometry, Inc.",1.95B,37.64
23,ROG,Rogers Corporation,1.95B,109.33
24,FA,First Advantage Corporation,1.94B,11.15
25,STOK,"Stoke Therapeutics, Inc.",1.94B,32.85
26,MBIN,Merchants Bancorp,1.94B,42.27
27,UNIT,Uniti Group LLC,1.94B,7.88
28,CDLR,Cadeler A/S,1.94B,22.12
29,WLY,"John Wiley & Sons, Inc.",1.93B,37.62
30,YSG,Yatsen Holding Limited,1.92B,2.890
31,BB,BlackBerry Limited,1.92B,3.160
32,CASH,"Pathward Financial, Inc.",1.91B,87.97
33,NVTS,Navitas Semiconductor Corporation,1.91B,8.28
34,ADPT,Adaptive Biotechnologies Corporation,1.91B,12.41
35,GLPG,Galapagos NV,1.91B,28.93
36,NMM,Navios Maritime Partners L.P.,1.90B,65.26
37,TGLS,Tecnoglass Inc.,1.90B,42.48
38,TENB,"Tenable Holdings, Inc.",1.90B,16.54
39,HG,"Hamilton Insurance Group, Ltd.",1.90B,28.61
40,CXW,"CoreCivic, Inc.",1.90B,19.44
41,GTY,Getty Realty Corp.,1.90B,31.75
42,DRH,DiamondRock Hospitality Company,1.90B,9.32
43,AUPH,Aurinia Pharmaceuticals Inc.,1.90B,14.27
44,NEOG,Neogen Corporation,1.89B,8.70
45,PTON,"Peloton Interactive, Inc.",1.88B,4.430
46,SYBT,"Stock Yards Bancorp, Inc.",1.88B,63.91
47,ARR,"ARMOUR Residential REIT, Inc.",1.88B,15.73
48,CENTA,Central Garden & Pet Company,1.88B,32.49
49,FLNC,"Fluence Energy, Inc.",1.87B,14.15
50,SKWD,"Skyward Specialty Insurance Group, Inc.",1.87B,42.13
51,RARE,Ultragenyx Pharmaceutical Inc.,1.87B,19.38
52,AAMI,Acadian Asset Management Inc.,1.87B,52.22
53,BHC,Bausch Health Companies Inc.,1.86B,5.02
54,BORR,Borr Drilling Limited,1.86B,6.05
55,KALU,Kaiser Aluminum Corporation,1.86B,114.56
56,STRA,"Strategic Education, Inc.",1.85B,81.46
57,MESO,Mesoblast Limited,1.85B,14.36
58,BLX,"Banco Latinoamericano de Comercio Exterior, S. A.",1.85B,49.64
59,GT,The Goodyear Tire & Rubber Company,1.84B,6.44
60,PENN,"PENN Entertainment, Inc.",1.84B,13.77
61,PAX,Patria Investments Limited,1.83B,11.58
62,STEL,"Stellar Bancorp, Inc.",1.82B,35.84
63,YB,Yuanbao Inc.,1.82B,16.99
64,BRBR,"BellRing Brands, Inc.",1.82B,15.35
65,HBNB,Hotel101 Global Holdings Corp.,1.82B,7.76
66,NWBI,"Northwest Bancshares, Inc.",1.82B,12.42
67,VERX,"Vertex, Inc.",1.81B,11.34
68,FIHL,Fidelis Insurance Holdings Limited,1.81B,18.75
69,NTST,NETSTREIT Corp.,1.81B,18.65
70,DCO,Ducommun Incorporated,1.81B,120.78
71,LTC,"LTC Properties, Inc.",1.81B,37.24
72,SEMR,"Semrush Holdings, Inc.",1.80B,11.93
73,TNET,"TriNet Group, Inc.",1.80B,38.01
74,STC,Stewart Information Services Corporation,1.80B,59.06
75,CLBK,"Columbia Financial, Inc.",1.79B,17.23
76,CSAN,Cosan S.A.,1.79B,3.860
77,PUMP,ProPetro Holding Corp.,1.79B,14.69
78,IOSP,Innospec Inc.,1.79B,72.20
79,DGII,Digi International Inc.,1.79B,47.47
80,ZYME,Zymeworks Inc.,1.78B,24.18
81,DFTX,"Definium Therapeutics, Inc.",1.78B,17.88
82,FLO,"Flowers Foods, Inc.",1.78B,8.40
83,VRE,"Veris Residential, Inc.",1.78B,18.93
84,ADUS,Addus HomeCare Corporation,1.77B,95.19
85,USAS,Americas Gold and Silver Corporation,1.77B,5.50
86,EPAC,Enerpac Tool Group Corp.,1.77B,34.34
87,ECO,Okeanis Eco Tankers Corp.,1.77B,49.90
88,TMC,TMC the metals company Inc.,1.77B,4.270
89,FCF,First Commonwealth Financial Corporation,1.76B,17.26
90,VSA,VisionSys AI Inc.,1.76B,0.760
91,COTY,Coty Inc.,1.76B,2.000
92,KMPR,Kemper Corporation,1.76B,29.91
93,CMPR,Cimpress plc,1.75B,72.18
94,GTM,ZoomInfo Technologies Inc.,1.75B,5.72
95,BLBD,Blue Bird Corporation,1.74B,55.11
96,INVX,"Innovex International, Inc.",1.74B,25.13
97,BLKB,"Blackbaud, Inc.",1.73B,37.70
98,OFG,OFG Bancorp,1.73B,40.12
99,AGIO,"Agios Pharmaceuticals, Inc.",1.72B,29.43
100,RLAY,"Relay Therapeutics, Inc.",1.72B,9.60
101,APPN,Appian Corporation,1.71B,23.18
102,CHCO,City Holding Company,1.71B,119.45
103,WERN,"Werner Enterprises, Inc.",1.71B,28.60
104,IE,Ivanhoe Electric Inc.,1.71B,10.87
