Date,open
2025-04-30,21.65999984741211
2025-05-01,15.199999809265137
2025-05-02,15.300000190734863
2025-05-05,15.0
2025-05-06,15.0
2025-05-07,14.609999656677246
2025-05-08,14.890000343322754
2025-05-09,14.949999809265137
2025-05-12,14.628000259399414
2025-05-13,14.819999694824219
2025-05-14,14.579999923706055
2025-05-15,14.949999809265137
2025-05-16,14.725000381469727
2025-05-19,14.979999542236328
2025-05-20,14.699999809265137
2025-05-21,14.699999809265137
2025-05-22,14.694999694824219
2025-05-23,14.420000076293945
2025-05-27,14.739999771118164
2025-05-28,14.890000343322754
2025-05-29,14.699999809265137
2025-05-30,14.902999877929688
2025-06-02,14.850000381469727
2025-06-03,15.0
2025-06-04,15.1899995803833
2025-06-05,16.235000610351562
2025-06-06,14.920000076293945
2025-06-09,15.329999923706055
2025-06-10,15.699999809265137
2025-06-11,15.520000457763672
2025-06-12,15.8100004196167
2025-06-13,18.0
2025-06-16,18.489999771118164
2025-06-17,20.0
2025-06-18,21.5
2025-06-20,21.860000610351562
2025-06-23,20.149999618530273
2025-06-24,21.0
2025-06-25,21.1200008392334
2025-06-26,21.389999389648438
2025-06-27,21.200000762939453
2025-06-30,22.200000762939453
2025-07-01,21.030000686645508
2025-07-02,20.68000030517578
2025-07-03,21.06999969482422
2025-07-07,22.0
2025-07-08,23.850000381469727
2025-07-09,27.1200008392334
2025-07-10,29.809999465942383
2025-07-11,29.360000610351562
2025-07-14,28.299999237060547
2025-07-15,30.309999465942383
2025-07-16,27.996000289916992
2025-07-17,25.0
2025-07-18,27.010000228881836
2025-07-21,27.469999313354492
2025-07-22,26.0
2025-07-23,26.68000030517578
2025-07-24,29.200000762939453
2025-07-25,29.209999084472656
2025-07-28,28.059999465942383
2025-07-29,27.638999938964844
2025-07-30,26.799999237060547
2025-07-31,27.155000686645508
2025-08-01,26.864999771118164
2025-08-04,25.655000686645508
2025-08-05,26.31999969482422
2025-08-06,26.420000076293945
2025-08-07,27.899999618530273
2025-08-08,27.0
2025-08-11,26.65999984741211
2025-08-12,26.059999465942383
2025-08-13,27.0
2025-08-14,27.049999237060547
2025-08-15,26.270000457763672
2025-08-18,26.65999984741211
2025-08-19,26.062000274658203
2025-08-20,26.049999237060547
2025-08-21,26.0
2025-08-22,26.200000762939453
2025-08-25,28.5
2025-08-26,29.889999389648438
2025-08-27,29.0
2025-08-28,26.15999984741211
2025-08-29,23.969999313354492
2025-09-02,23.0
2025-09-03,23.899999618530273
2025-09-04,24.2450008392334
