Date,low
2000-01-03,232.8461062634029
2000-01-04,227.25098039066782
2000-01-05,227.0358265996672
2000-01-06,229.1877673270071
2000-01-07,231.98530109977906
2000-01-10,236.0203067255292
2000-01-11,244.7359871499426
2000-01-12,245.89260312901627
2000-01-13,248.34056119504513
2000-01-14,245.8118896484375
2000-01-18,244.89718225139976
2000-01-19,245.3276963099228
2000-01-20,245.32776707114886
2000-01-21,244.89731866475424
2000-01-24,243.66006908541027
2000-01-25,239.30210231146827
2000-01-26,241.90071742285238
2000-01-27,240.87611907241106
2000-01-28,237.28978143565638
2000-01-31,237.28973388671878
2000-02-01,237.31671089747394
2000-02-02,236.26495361328125
2000-02-03,235.3483001351349
2000-02-04,235.6988067626953
2000-02-07,234.29661011900768
2000-02-08,230.81818705120278
2000-02-09,228.22954753313854
2000-02-10,225.58694458007812
2000-02-11,220.0323321689041
2000-02-14,218.0908508300781
2000-02-15,215.5292264186562
2000-02-16,213.6146697998047
2000-02-17,213.6146697998047
2000-02-18,212.37443387793718
2000-02-22,211.08006668871698
2000-02-23,210.64855133697915
2000-02-24,205.47137359084766
2000-02-25,206.22635521853937
2000-02-28,204.9320542306469
2000-02-29,207.52062204681457
2000-03-01,209.16543868762935
2000-03-02,210.54082226231773
2000-03-03,213.129404162071
2000-03-06,211.40366360560657
2000-03-07,207.9520761981445
2000-03-08,206.2263264518209
2000-03-09,207.08925006584178
2000-03-10,205.3634338378906
2000-03-13,203.63778734988173
2000-03-14,206.90048060858015
2000-03-15,205.36345634419928
2000-03-16,211.83506207870218
2000-03-17,216.25721742346494
2000-03-20,220.89517163790703
2000-03-21,215.71791076660156
2000-03-22,216.36506822105412
2000-03-23,218.7380660631631
2000-03-24,218.414374086638
2000-03-27,217.4437255859375
2000-03-28,217.76727294921875
2000-03-29,216.58088684082034
2000-03-30,217.6594274619476
2000-03-31,223.80740737680384
2000-04-03,229.73953247070312
2000-04-04,222.75573599404433
2000-04-05,222.6209259033203
2000-04-06,223.05242909664312
2000-04-07,222.62092982627505
2000-04-10,219.60087452654093
2000-04-11,219.60082122128802
2000-04-12,220.03230213342778
2000-04-13,216.58082272115544
2000-04-14,210.54074867241783
2000-04-17,211.83503730547136
2000-04-18,212.84361256007122
2000-04-19,215.00661693286517
2000-04-20,214.5740304545051
2000-04-24,212.41105142345248
2000-04-25,212.08651411175495
2000-04-26,212.0323486328125
2000-04-27,209.70714891429105
2000-04-28,210.24796713977716
2000-05-01,209.38272094726562
2000-05-02,207.4359781457586
2000-05-03,203.75881335613735
2000-05-04,204.29961030489704
2000-05-05,210.004638671875
2000-05-08,207.21975901830146
2000-05-09,207.65228006983503
2000-05-10,211.59979822691037
2000-05-11,212.46505704789644
2000-05-12,214.81744384765625
2000-05-15,213.2762037828505
2000-05-16,218.03482731010686
2000-05-17,215.87177979385217
2000-05-18,214.41183471679688
2000-05-19,210.86985778808594
2000-05-22,211.1131698347671
2000-05-23,211.54568664536393
2000-05-24,209.81532510909585
2000-05-25,211.9784509904605
2000-05-26,211.54568314377184
2000-05-30,212.4109806893326
2000-05-31,215.00669413629555
2000-06-01,215.87192827718613
2000-06-02,216.30458934337906
2000-06-05,215.4392961208582
2000-06-06,212.4110657429873
2000-06-07,210.24796681951344
2000-06-08,208.73384428532515
2000-06-09,209.92358585977894
2000-06-12,213.9791259765625
2000-06-13,213.979202026448
2000-06-14,211.51873779296875
2000-06-15,211.11310727040043
2000-06-16,208.95020431099783
2000-06-19,209.70718875496593
2000-06-20,211.54576987627846
2000-06-21,211.11318656624618
2000-06-22,211.1132052370084
2000-06-23,208.9500972737891
2000-06-26,208.08489928115654
2000-06-27,206.5167236328125
2000-06-28,204.35368196460198
2000-06-29,206.3544894720162
2000-06-30,205.48921306839492
2000-07-03,206.40856724511852
2000-07-05,205.92190298142387
2000-07-06,206.13808201287435
2000-07-07,206.19230122983998
2000-07-10,205.48928368155887
