Date,high
2020-11-04,323.3999938964844
2020-11-05,323.3999938964844
2020-11-06,323.3999938964844
2020-11-09,323.3999938964844
2020-11-10,323.3999938964844
2020-11-11,323.3999938964844
2020-11-12,339.8999938964844
2020-11-13,337.5899963378906
2020-11-16,358.7099914550781
2020-11-17,327.69000244140625
2020-11-18,327.69000244140625
2020-11-19,327.3599853515625
2020-11-20,330.6600036621094
2020-11-23,332.30999755859375
2020-11-24,334.95001220703125
2020-11-25,336.6000061035156
2020-11-27,335.2799987792969
2020-11-30,339.239990234375
2020-12-01,400.6199951171875
2020-12-02,363.0
2020-12-03,346.5
2020-12-04,339.8999938964844
2020-12-07,396.0
2020-12-08,349.79998779296875
2020-12-09,349.79998779296875
2020-12-10,351.45001220703125
2020-12-11,349.79998779296875
2020-12-14,378.510009765625
2020-12-15,363.0
2020-12-16,359.70001220703125
2020-12-17,352.44000244140625
2020-12-18,359.70001220703125
2020-12-21,396.989990234375
2020-12-22,387.75
2020-12-23,381.80999755859375
2020-12-24,404.25
2020-12-28,391.04998779296875
2020-12-29,379.5
2020-12-30,375.5400085449219
2020-12-31,370.260009765625
2021-01-04,375.8699951171875
2021-01-05,367.95001220703125
2021-01-06,366.29998779296875
2021-01-07,374.2200012207031
2021-01-08,379.5
2021-01-11,380.1600036621094
2021-01-12,388.4100036621094
2021-01-13,409.20001220703125
2021-01-14,425.0400085449219
2021-01-15,404.5799865722656
2021-01-19,399.6300048828125
2021-01-20,396.0
2021-01-21,397.6499938964844
2021-01-22,405.239990234375
2021-01-25,446.1600036621094
2021-01-26,435.6000061035156
2021-01-27,422.3999938964844
2021-01-28,420.75
2021-01-29,412.8299865722656
2021-02-01,446.1600036621094
2021-02-02,458.0400085449219
2021-02-03,494.6700134277344
2021-02-04,457.1820068359375
2021-02-05,484.44000244140625
2021-02-08,484.7699890136719
2021-02-09,518.0999755859375
2021-02-10,849.4199829101562
2021-02-11,755.3699951171875
2021-02-12,896.9400024414062
2021-02-16,887.7000122070312
2021-02-17,816.4199829101562
2021-02-18,824.6699829101562
2021-02-19,819.719970703125
2021-02-22,772.8599853515625
2021-02-23,686.0700073242188
2021-02-24,699.5670166015625
2021-02-25,709.5
2021-02-26,689.7000122070312
2021-03-01,707.52001953125
2021-03-02,708.8400268554688
2021-03-03,658.9110107421875
2021-03-04,596.3099975585938
2021-03-05,547.1400146484375
2021-03-08,574.2000122070312
2021-03-09,566.6099853515625
2021-03-10,577.1699829101562
2021-03-11,585.75
2021-03-12,572.8800048828125
2021-03-15,616.77001953125
2021-03-16,609.1799926757812
2021-03-17,560.3400268554688
2021-03-18,542.8499755859375
2021-03-19,532.6199951171875
2021-03-22,565.6199951171875
2021-03-23,562.3200073242188
2021-03-24,516.4500122070312
2021-03-25,483.45001220703125
2021-03-26,491.3699951171875
2021-03-29,466.6199951171875
2021-03-30,471.57000732421875
2021-03-31,495.989990234375
2021-04-01,558.3599853515625
2021-04-05,553.0800170898438
2021-04-06,527.6699829101562
2021-04-07,522.2249755859375
2021-04-08,531.9600219726562
2021-04-09,514.1400146484375
2021-04-12,499.6199951171875
2021-04-13,489.3900146484375
2021-04-14,477.3450012207031
2021-04-15,468.13800048828125
2021-04-16,464.50799560546875
2021-04-19,470.9100036621094
2021-04-20,462.0
2021-04-21,475.8599853515625
2021-04-22,475.5299987792969
2021-04-23,484.44000244140625
2021-04-26,478.1700134277344
2021-04-27,481.1400146484375
2021-04-28,462.0
2021-04-29,461.3399963378906
2021-04-30,460.0199890136719
2021-05-03,455.3999938964844
2021-05-04,438.8999938964844
2021-05-05,438.8999938964844
2021-05-06,416.7900085449219
2021-05-07,410.19000244140625
2021-05-10,392.70001220703125
2021-05-11,372.8999938964844
2021-05-12,370.9200134277344
2021-05-13,379.5
2021-05-14,379.5
2021-05-17,373.2300109863281
2021-05-18,392.0400085449219
2021-05-19,387.4200134277344
2021-05-20,398.30999755859375
2021-05-21,403.260009765625
2021-05-24,405.57000732421875
2021-05-25,422.3999938964844
