Date,high
2000-01-03,6.014549732208252
2000-01-04,6.014550355451044
2000-01-05,5.982558250427245
2000-01-06,6.078534126281737
2000-01-07,6.142519787479427
2000-01-10,6.110526532981575
2000-01-11,6.046542625690605
2000-01-12,6.20650339126587
2000-01-13,6.654395665243006
2000-01-14,6.622404572222104
2000-01-18,6.558418876579321
2000-01-19,6.3344717025756845
2000-01-20,6.334472967414669
2000-01-21,6.462442046546004
2000-01-24,6.3344717025756845
2000-01-25,6.3344734198877255
2000-01-26,6.270488739013672
2000-01-27,6.366465553124895
2000-01-28,6.1425199508667
2000-01-31,6.142519787479427
2000-02-01,6.270488739013672
2000-02-02,6.270489042542799
2000-02-03,6.398457964023826
2000-02-04,6.366463965970445
2000-02-07,6.3984575271606445
2000-02-08,6.366463965970445
2000-02-09,6.398456229365207
2000-02-10,6.4944332320011355
2000-02-11,6.526425496442456
2000-02-14,6.526426606695585
2000-02-15,6.3984575271606445
2000-02-16,6.4624409675598145
2000-02-17,6.3984575271606445
2000-02-18,6.430450111438246
2000-02-22,6.462442382886128
2000-02-23,6.33447214679897
2000-02-24,6.270487615522346
2000-02-25,6.30248101038408
2000-02-28,6.30248101038408
2000-02-29,6.334473281754487
2000-03-01,6.302479881160658
2000-03-02,6.270487615522346
2000-03-03,6.3344717025756845
2000-03-06,6.36646556854248
2000-03-07,6.302480192928538
2000-03-08,6.366463965970445
2000-03-09,6.398457839990363
2000-03-10,6.3344717025756845
2000-03-13,6.3344717025756845
2000-03-14,6.302481481366746
2000-03-15,6.20650339126587
2000-03-16,6.206504660083203
2000-03-17,6.174512223785724
2000-03-20,6.1745123863220215
2000-03-21,6.1745123863220215
2000-03-22,6.046542625690605
2000-03-23,6.270489207605565
2000-03-24,6.174510924848083
2000-03-27,6.142519939923985
2000-03-28,6.014548719052894
2000-03-29,5.790604081038159
2000-03-30,5.470680684855351
2000-03-31,5.566659292369692
2000-04-03,5.5026729517655495
2000-04-04,5.502673625946045
2000-04-05,5.662634980095298
2000-04-06,5.630641460418701
2000-04-07,5.918573379516602
2000-04-10,5.918573379516602
2000-04-11,6.1315645709015785
2000-04-12,6.034748523419768
2000-04-13,5.93793437927081
2000-04-14,5.9056634040661855
2000-04-17,5.776577709121011
2000-04-18,5.550679683685302
2000-04-19,5.486134984965146
