Date,open
2000-01-03,4.934850692749023
2000-01-04,4.867250007180607
2000-01-05,4.822184632906154
2000-01-06,4.743316497081279
2000-01-07,4.765849070216334
2000-01-10,4.912317054418333
2000-01-11,5.024984876767378
2000-01-12,4.923583836653238
2000-01-13,4.957385861496041
2000-01-14,5.002450909159928
2000-01-18,5.1263872125874395
2000-01-19,5.2165227731068935
2000-01-20,5.227786395682798
2000-01-21,5.295388678024555
2000-01-24,5.261586738758333
2000-01-25,5.227788124249611
2000-01-26,5.2052544026539245
2000-01-27,5.227787241242712
2000-01-28,5.137651948992553
2000-01-31,5.002453026792551
2000-02-01,5.1263872125874395
2000-02-02,5.182721138000488
2000-02-03,5.16018812938403
2000-02-04,5.295390288035075
2000-02-07,5.284121893603226
2000-02-08,5.29538824778645
2000-02-09,5.3855222909087175
2000-02-10,5.37425573232795
2000-02-11,5.374255507873344
2000-02-14,5.340454205934582
2000-02-15,5.250320142380734
2000-02-16,5.261588324760568
2000-02-17,5.239053360959317
2000-02-18,5.3066554624458835
2000-02-22,5.295387268066406
2000-02-23,5.25031992648167
2000-02-24,5.340456651344459
2000-02-25,5.3855222909087175
2000-02-28,5.396788523594538
2000-02-29,5.475657771731807
2000-03-01,5.475658173886886
2000-03-02,5.464389578240817
2000-03-03,5.52072462027635
2000-03-06,5.6333911185171095
2000-03-07,5.746060276975726
2000-03-08,5.7009933533207064
2000-03-09,5.543258190155029
2000-03-10,5.5545251446385535
2000-03-13,5.543258095179251
2000-03-14,5.498191667982369
2000-03-15,5.453122943517112
2000-03-16,5.543258256690447
2000-03-17,5.858725880297665
2000-03-20,5.881260314984108
2000-03-21,5.98265951937855
2000-03-22,6.084063444818769
2000-03-23,6.354466264588492
2000-03-24,6.309400480273785
2000-03-27,6.365733791947994
2000-03-28,6.365733639371375
2000-03-29,6.433332256461739
2000-03-30,6.241797229822945
2000-03-31,6.174197093338378
2000-04-03,6.129129409790039
2000-04-04,6.117863554936802
2000-04-05,6.00519571782931
2000-04-06,6.061528091359094
2000-04-07,6.027729533295974
2000-04-10,6.038993413158009
2000-04-11,6.084062281776877
2000-04-12,6.151665676845593
2000-04-13,6.027729970971668
2000-04-14,5.9150610119104385
2000-04-17,5.655925036457831
2000-04-18,5.498191050397671
2000-04-19,5.565791929921796
2000-04-20,5.543258359355311
2000-04-24,5.588325668334961
2000-04-25,5.678459828001979
2000-04-26,5.8361929750349555
2000-04-27,5.746059268712997
2000-04-28,5.836191654205322
2000-05-01,5.881262789951282
2000-05-02,6.061531381214156
2000-05-03,5.971394686987906
2000-05-04,5.948862151810069
2000-05-05,5.926328182220459
2000-05-08,5.926328638883738
2000-05-09,5.903793407899699
2000-05-10,5.903793628399189
