Date,close
2000-01-03,5.99766731262207
2000-01-04,5.796470642089844
2000-01-05,5.719821929931641
2000-01-06,5.748565196990967
2000-01-07,5.825210094451904
2000-01-10,6.083896636962891
2000-01-11,5.988087177276611
2000-01-12,6.035991191864014
2000-01-13,6.093478202819824
2000-01-14,6.131801128387451
2000-01-18,6.083896636962891
2000-01-19,6.26593542098999
2000-01-20,6.198869228363037
2000-01-21,6.026413440704346
2000-01-24,6.313839912414551
2000-01-25,6.2084455490112305
2000-01-26,6.246773719787598
2000-01-27,6.122219085693359
2000-01-28,6.361741542816162
2000-01-31,6.237192630767822
2000-02-01,6.323419570922852
2000-02-02,6.524620056152344
2000-02-03,6.515039920806885
2000-02-04,6.562944412231445
2000-02-07,6.668331623077393
2000-02-08,6.77372407913208
2000-02-09,7.338996887207031
2000-02-10,7.233606338500977
2000-02-11,6.677914619445801
2000-02-14,6.630008697509766
2000-02-15,6.400066375732422
2000-02-16,6.534197807312012
2000-02-17,6.457550525665283
2000-02-18,6.246773719787598
2000-02-22,6.361741542816162
2000-02-23,6.850368499755859
2000-02-24,6.936599254608154
2000-02-25,7.037204742431641
2000-02-28,7.588106155395508
2000-02-29,7.8180460929870605
2000-03-01,7.703075885772705
2000-03-02,7.612054347991943
2000-03-03,7.6072678565979
2000-03-06,7.609949111938477
2000-03-07,7.821071624755859
2000-03-08,7.811476707458496
2000-03-09,7.734703540802002
2000-03-10,7.590760707855225
2000-03-13,7.466005802154541
2000-03-14,7.072553634643555
2000-03-15,6.976592540740967
2000-03-16,6.765468597412109
2000-03-17,6.4008049964904785
2000-03-20,6.160892963409424
2000-03-21,6.30483865737915
2000-03-22,6.458386421203613
2000-03-23,6.458386421203613
2000-03-24,6.448788642883301
2000-03-27,6.429593563079834
2000-03-28,6.429593563079834
2000-03-29,6.218470096588135
2000-03-30,6.074524879455566
2000-03-31,5.719460964202881
2000-04-03,5.373988151550293
2000-04-04,6.199281692504883
2000-04-05,6.045735836029053
2000-04-06,6.199281692504883
2000-04-07,6.669507026672363
2000-04-10,6.4008049964904785
2000-04-11,6.467977523803711
2000-04-12,7.062954425811768
2000-04-13,6.765468597412109
2000-04-14,6.333627700805664
2000-04-17,6.343227863311768
2000-04-18,6.909413814544678
2000-04-19,7.202106475830078
2000-04-20,7.370042324066162
2000-04-24,7.504394054412842
2000-04-25,7.590760707855225
2000-04-26,7.398830890655518
2000-04-27,7.561969757080078
2000-04-28,7.677124500274658
2000-05-01,7.734703540802002
2000-05-02,7.773090362548828
2000-05-03,7.27407693862915
2000-05-04,7.427617073059082
2000-05-05,7.965019702911377
2000-05-08,7.926629066467285
2000-05-09,7.955422878265381
2000-05-10,7.897844314575195
2000-05-11,7.94582986831665
2000-05-12,7.941033363342285
2000-05-15,7.93623161315918
2000-05-16,7.485202789306641
2000-05-17,7.0149736404418945
2000-05-18,6.813446998596191
2000-05-19,6.7750630378723145
2000-05-22,6.82304573059082
2000-05-23,7.312463283538818
2000-05-24,7.264481544494629
2000-05-25,7.062954425811768
2000-05-26,7.062954425811768
2000-05-30,6.966993808746338
2000-05-31,6.899816036224365
2000-06-01,7.341249942779541
2000-06-02,7.062954425811768
2000-06-05,6.995780944824219
2000-06-06,6.914212226867676
2000-06-07,6.890219211578369
2000-06-08,6.633347988128662
2000-06-09,6.647769451141357
2000-06-12,7.133256435394287
2000-06-13,7.21015739440918
2000-06-14,7.238999843597412
2000-06-15,7.200544834136963
2000-06-16,7.267840385437012
2000-06-19,7.075568199157715
2000-06-20,6.77755069732666
2000-06-21,6.537214279174805
2000-06-22,6.383394241333008
2000-06-23,6.421846389770508
