Date,open
2000-01-03,8.79130042226691
2000-01-04,8.39765739440918
2000-01-05,8.332053479026346
2000-01-06,8.944382964850043
2000-01-07,9.141203127890753
2000-01-10,9.031858495637481
2000-01-11,9.097460937500001
2000-01-12,8.96624983078631
2000-01-13,8.966251238654642
2000-01-14,9.338022033744883
2000-01-18,9.184935194621154
2000-01-19,9.228671842714855
2000-01-20,9.294285889131476
2000-01-21,8.988120682099286
2000-01-24,8.878772754861851
2000-01-25,8.66008444454359
2000-01-26,8.091490439006261
2000-01-27,7.982151781926389
2000-01-28,7.960278708175574
2000-01-31,7.872803807258606
2000-02-01,7.741590383694257
2000-02-02,8.572606836224349
2000-02-03,8.332049367275644
2000-02-04,8.222711862100137
2000-02-07,7.999443370319674
2000-02-08,7.933697142887636
2000-02-09,8.043275741239388
2000-02-10,8.415857130481351
2000-02-11,8.109027924162618
2000-02-14,7.933695341678376
2000-02-15,8.218608251432094
2000-02-16,8.065194885587431
2000-02-17,8.284360143300649
2000-02-18,8.15286112211111
2000-02-22,8.24052474193084
2000-02-23,8.5035176773866
2000-02-24,8.240525209187158
2000-02-25,8.021365792118512
2000-02-28,8.152857154607773
2000-02-29,8.415853395785737
2000-03-01,8.393936685680114
2000-03-02,8.437762895421168
2000-03-03,8.744600099039918
2000-03-06,8.678848597008413
2000-03-07,8.350104468976948
2000-03-08,7.802201170391506
2000-03-09,7.8898645619877055
2000-03-10,7.999446576471487
2000-03-13,7.8898665300831805
2000-03-14,8.04328013000702
2000-03-15,7.8241162405488245
2000-03-16,7.9117823544368955
2000-03-17,8.152857262471
2000-03-20,8.59118323965171
2000-03-21,8.503522746393077
2000-03-22,8.876096665104733
2000-03-23,8.635015699598524
2000-03-24,9.248674248836917
2000-03-27,8.854176410078708
2000-03-28,8.810348905366043
2000-03-29,8.898014633216668
2000-03-30,8.810348937144646
2000-03-31,9.204840425585138
2000-04-03,9.42400497988046
2000-04-04,9.095257103443146
2000-04-05,8.635018644164731
2000-04-06,8.7884325510048
2000-04-07,9.095259916548635
2000-04-10,8.898013907354235
2000-04-11,9.007594074521746
2000-04-12,9.226757650281868
2000-04-13,8.985680482142552
2000-04-14,8.766509457768088
2000-04-17,8.45968719192698
2000-04-18,8.569266638780004
2000-04-19,8.591182808081308
2000-04-20,8.372022937461374
2000-04-24,9.07334442780568
2000-04-25,9.02951005271878
2000-04-26,9.928076647393715
2000-04-27,9.46783468360725
2000-04-28,9.467833268015008
2000-05-01,9.835750579833984
2000-05-02,9.704022785073287
2000-05-03,9.59425066570903
2000-05-04,9.484471756192397
2000-05-05,9.506430772466397
2000-05-08,9.57229483127594
2000-05-09,9.13319689162234
2000-05-10,9.264928259723764
2000-05-11,9.242970598155054
2000-05-12,9.550339166305157
2000-05-15,9.55034363759707
2000-05-16,9.63815975189209
2000-05-17,9.616203574348642
2000-05-18,9.506429560942836
2000-05-19,9.616204946079124
2000-05-22,9.638159456759622
2000-05-23,9.594251356034908
2000-05-24,9.33078818606891
2000-05-25,9.616202190004545
2000-05-26,9.59425066570903
2000-05-30,9.396656887949463
2000-05-31,9.550342436397777
2000-06-01,9.330792470510564
2000-06-02,9.550341205163436
2000-06-05,9.660114557705056
2000-06-06,9.55033474498325
2000-06-07,9.52838543105621
2000-06-08,9.484471756192397
2000-06-09,9.440566356028985
2000-06-12,9.506434011677085
2000-06-13,9.638156275802784
2000-06-14,9.769885786648453
2000-06-15,9.506426551924324
2000-06-16,9.550340170342219
2000-06-19,9.923572433175073
2000-06-20,10.165074280481827
2000-06-21,9.901621262758773
2000-06-22,10.033345456112732
2000-06-23,9.879661560058594
2000-06-26,9.660111059222306
2000-06-27,10.143119201660156
2000-06-28,9.90161921854677
2000-06-29,10.121163474652647
2000-06-30,10.055294972878915
2000-07-03,9.572293285756384
2000-07-05,9.967483248029437
2000-07-06,10.165076528276716
2000-07-07,10.143121719360352
2000-07-10,10.143118276116102
2000-07-11,9.989438451779117
2000-07-12,10.274851637742714
2000-07-13,10.450490127276776
2000-07-14,10.494398804210679
2000-07-17,9.967482045711245
2000-07-18,10.077256202697754
2000-07-19,10.165075428865055
2000-07-20,10.055298583848137
2000-07-21,9.879660545094154
2000-07-24,8.540415766239166
2000-07-25,8.80387332201004
2000-07-26,8.781914255726877
2000-07-27,8.694101866126665
2000-07-28,8.689789465583075
2000-07-31,8.557793471448703
2000-08-01,8.777790650498444
2000-08-02,8.711789974337561
2000-08-03,8.777788383234057
2000-08-04,8.755788913601892
2000-08-07,8.733793129667568
2000-08-08,9.10778510312
2000-08-09,9.12978458404541
2000-08-10,9.129780196670266
2000-08-11,8.90978378202857
2000-08-14,9.063782074049223
2000-08-15,8.975783838199664
2000-08-16,8.733791699869379
2000-08-17,8.64579379861125
2000-08-18,8.711788177490234
2000-08-21,8.557795258165962
2000-08-22,8.403799404255004
2000-08-23,8.337800951338199
2000-08-24,7.853814713160197
2000-08-25,7.963812431764985
2000-08-28,8.403801464390112
2000-08-29,8.117803763835987
2000-08-30,8.271801219267005
2000-08-31,8.249805695889142
2000-09-01,8.22780288878423
2000-09-05,8.381796524047852
2000-09-06,8.227803153095296
2000-09-07,8.381796201070149
2000-09-08,8.469794795568314
2000-09-11,8.645785806167066
2000-09-12,8.755783081054688
2000-09-13,8.799786037868923
2000-09-14,8.71178967995412
2000-09-15,8.491797471409521
2000-09-18,8.579797521233559
2000-09-19,8.49179683715183
2000-09-20,8.337800979614258
