No.,Company Name,Stock Price,Market Cap,Symbol,Industry,Sector
1019,"FormFactor, Inc.",97.93,7.63B,FORM,Semiconductor Equipment & Materials,Technology
1020,"Manhattan Associates, Inc.",127.40,7.62B,MANH,Software - Application,Technology
1021,"Tempus AI, Inc.",42.62,7.62B,TEM,Health Information Services,Healthcare
1022,"Liberty Live Holdings, Inc.",86.40,7.61B,LLYVA,Entertainment,Communication Services
1023,Ternium S.A.,38.76,7.61B,TX,Steel,Materials
1024,"Nuvalent, Inc.",96.66,7.60B,NUVL,Biotechnology,Healthcare
1025,"ImmunityBio, Inc.",7.38,7.59B,IBRX,Biotechnology,Healthcare
1026,"Kinsale Capital Group, Inc.",327.29,7.58B,KNSL,Insurance - Property & Casualty,Financials
1027,"First Industrial Realty Trust, Inc.",57.18,7.58B,FR,REIT - Industrial,Real Estate
1028,BOK Financial Corporation,124.60,7.56B,BOKF,Banks - Regional,Financials
1029,"Rexford Industrial Realty, Inc.",32.49,7.53B,REXR,REIT - Industrial,Real Estate
1030,Companhia Energ̩tica de Minas Gerais - CEMIG,3.230,7.51B,CIG.C,Utilities - Diversified,Utilities
1031,Frontline plc,33.65,7.49B,FRO,Oil & Gas Midstream,Energy
1032,"DigitalOcean Holdings, Inc.",81.42,7.49B,DOCN,Software - Infrastructure,Technology
1033,Madison Square Garden Sports Corp.,311.15,7.49B,MSGS,Entertainment,Communication Services
1034,"Conagra Brands, Inc.",15.62,7.47B,CAG,Packaged Foods,Consumer Staples
1035,Hudbay Minerals Inc.,19.48,7.47B,HBM,Copper,Materials
1036,Western Alliance Bancorporation,67.80,7.45B,WAL,Banks - Regional,Financials
1037,LKQ Corporation,29.18,7.44B,LKQ,Auto Parts,Consumer Discretionary
1038,Zurn Elkay Water Solutions Corporation,44.37,7.40B,ZWS,Pollution & Treatment Controls,Industrials
1039,"Applied Optoelectronics, Inc.",98.21,7.39B,AAOI,Communication Equipment,Technology
1040,FactSet Research Systems Inc.,198.33,7.36B,FDS,Financial Data & Stock Exchanges,Financials
1041,AXIS Capital Holdings Limited,98.91,7.33B,AXS,Insurance - Specialty,Financials
1042,Liberty Broadband Corporation,51.04,7.32B,LBRDK,Telecom Services,Communication Services
1043,"Sprouts Farmers Market, Inc.",77.40,7.32B,SFM,Grocery Stores,Consumer Staples
1044,Stifel Financial Corp.,70.93,7.32B,SF,Capital Markets,Financials
1045,"EPAM Systems, Inc.",135.19,7.32B,EPAM,Information Technology Services,Technology
1046,NexGen Energy Ltd.,11.04,7.32B,NXE,Uranium,Energy
1047,"Cirrus Logic, Inc.",143.39,7.31B,CRUS,Semiconductors,Technology
1048,Pool Corporation,198.74,7.31B,POOL,Industrial Distribution,Industrials
1049,"Halozyme Therapeutics, Inc.",61.63,7.27B,HALO,Biotechnology,Healthcare
1050,Air Lease Corporation,64.80,7.26B,AL,Rental & Leasing Services,Industrials
1051,ESCO Technologies Inc.,279.23,7.23B,ESE,Scientific & Technical Instruments,Technology
1052,"Lineage, Inc.",31.80,7.22B,LINE,REIT - Industrial,Real Estate
1053,Kirby Corporation,134.12,7.20B,KEX,Marine Shipping,Industrials
1054,"Affiliated Managers Group, Inc.",268.98,7.18B,AMG,Asset Management,Financials
1055,"Krystal Biotech, Inc.",245.39,7.17B,KRYS,Biotechnology,Healthcare
1056,"Qorvo, Inc.",77.35,7.17B,QRVO,Semiconductors,Technology
1057,Jackson Financial Inc.,101.40,7.17B,JXN,Insurance - Life,Financials
1058,NOV Inc.,19.88,7.16B,NOV,Oil & Gas Equipment & Services,Energy
1059,"Bio-Rad Laboratories, Inc.",265.40,7.16B,BIO,Medical Devices,Healthcare
1060,Kanzhun Limited,13.13,7.15B,BZ,Internet Content & Information,Communication Services
1061,Sanmina Corporation,130.90,7.15B,SANM,Electronic Components,Technology
1062,"Arrow Electronics, Inc.",139.63,7.13B,ARW,Electronics & Computer Distribution,Technology
1063,Levi Strauss & Co.,18.26,7.13B,LEVI,Apparel Manufacturing,Consumer Discretionary
1064,South Bow Corporation,34.21,7.09B,SOBO,Oil & Gas Midstream,Energy
1065,Valaris Limited,102.24,7.08B,VAL,Oil & Gas Equipment & Services,Energy
1066,"Commerce Bancshares, Inc.",48.07,7.06B,CBSH,Banks - Regional,Financials
1067,Ingredion Incorporated,112.11,7.06B,INGR,Packaged Foods,Consumer Staples
1068,Galaxy Digital Inc.,18.00,7.04B,GLXY,Capital Markets,Financials
1069,Camtek Ltd.,153.33,7.03B,CAMT,Semiconductor Equipment & Materials,Technology
1070,"Simpson Manufacturing Co., Inc.",168.38,6.97B,SSD,Lumber & Wood Production,Materials
1071,"HealthEquity, Inc.",82.51,6.97B,HQY,Health Information Services,Healthcare
1072,Celanese Corporation,63.41,6.95B,CE,Chemicals,Materials
1073,"Armstrong World Industries, Inc.",162.17,6.95B,AWI,Building Products & Equipment,Industrials
1074,Vicor Corporation,153.02,6.94B,VICR,Electronic Components,Technology
1075,Amdocs Limited,64.32,6.92B,DOX,Software - Infrastructure,Technology
1076,"Match Group, Inc.",29.74,6.92B,MTCH,Internet Content & Information,Communication Services
1077,"Clearwater Analytics Holdings, Inc.",23.49,6.91B,CWAN,Software - Application,Technology
1078,"Molina Healthcare, Inc.",134.03,6.90B,MOH,Healthcare Plans,Healthcare
1079,"STAG Industrial, Inc.",36.09,6.89B,STAG,REIT - Industrial,Real Estate
1080,"Comstock Resources, Inc.",23.43,6.89B,CRK,Oil & Gas Exploration & Production,Energy
1081,Weatherford International plc,95.89,6.88B,WFRD,Oil & Gas Equipment & Services,Energy
1082,Grupo Financiero Galicia S.A.,42.70,6.86B,GGAL,Banks - Regional,Financials
1083,"Lumen Technologies, Inc.",6.67,6.83B,LUMN,Telecom Services,Communication Services
1084,QMMM Holdings Limited,119.40,6.83B,QMMM,Advertising Agencies,Communication Services
1085,Gerdau S.A.,3.420,6.82B,GGB,Steel,Materials
1086,"Ormat Technologies, Inc.",112.00,6.81B,ORA,Utilities - Renewable,Utilities
1087,Pegasystems Inc.,40.31,6.81B,PEGA,Software - Application,Technology
1088,American Airlines Group Inc.,10.30,6.80B,AAL,Airlines,Industrials
1089,Silicon Laboratories Inc.,205.93,6.79B,SLAB,Semiconductors,Technology
1090,The Timken Company,97.56,6.78B,TKR,Tools & Accessories,Industrials
1091,Triple Flag Precious Metals Corp.,32.78,6.77B,TFPM,Other Precious Metals & Mining,Materials
1092,Brookfield Business Partners L.P.,32.13,6.76B,BBU,Conglomerates,Industrials
1093,ICL Group Ltd,5.20,6.71B,ICL,Agricultural Inputs,Materials
1094,Semtech Corporation,72.16,6.71B,SMTC,Semiconductors,Technology
1095,"Figure Technology Solutions, Inc.",31.00,6.71B,FIGR,Capital Markets,Financials
1096,Fluor Corporation,45.74,6.70B,FLR,Engineering & Construction,Industrials
1097,"Arcellx, Inc.",114.57,6.70B,ACLX,Biotechnology,Healthcare
1098,Eldorado Gold Corporation,33.80,6.68B,EGO,Gold,Materials
1099,"AutoNation, Inc.",192.48,6.68B,AN,Auto & Truck Dealerships,Consumer Discretionary
1100,Applied Digital Corporation,23.76,6.64B,APLD,Information Technology Services,Technology
1101,"AAON, Inc.",81.48,6.64B,AAON,Building Products & Equipment,Industrials
1102,"Prosperity Bancshares, Inc.",65.36,6.64B,PB,Banks - Regional,Financials
1103,Snap Inc.,3.930,6.64B,SNAP,Internet Content & Information,Communication Services
1104,Valley National Bancorp,11.95,6.64B,VLY,Banks - Regional,Financials
1105,"SailPoint, Inc.",11.77,6.64B,SAIL,Software - Infrastructure,Technology
1106,Primo Brands Corporation,18.25,6.63B,PRMB,Beverages - Non-Alcoholic,Consumer Staples
1107,Liberty Broadband Corporation,50.96,6.61B,LBRDA,Telecom Services,Communication Services
1108,TAL Education Group,10.82,6.58B,TAL,Education & Training Services,Consumer Staples
1109,The Campbell's Company,21.99,6.56B,CPB,Packaged Foods,Consumer Staples
1110,NICE Ltd.,108.35,6.55B,NICE,Software - Application,Technology
1111,"Powell Industries, Inc.",538.04,6.53B,POWL,Electrical Equipment & Parts,Industrials
1112,"Chime Financial, Inc.",16.99,6.53B,CHYM,Software - Application,Technology
1113,Lincoln National Corporation,34.18,6.50B,LNC,Insurance - Life,Financials
1114,Federal Signal Corporation,106.47,6.48B,FSS,Pollution & Treatment Controls,Industrials
1115,ORIX Corporation,29.27,6.48B,IX,Financial Conglomerates,Financials
1116,"Nexstar Media Group, Inc.",213.13,6.46B,NXST,Broadcasting,Communication Services
1117,Commercial Metals Company,58.28,6.46B,CMC,Metal Fabrication,Industrials
1118,JBT Marel Corporation,123.50,6.42B,JBTM,Specialty Industrial Machinery,Industrials
1119,Terex Corporation,56.44,6.42B,TEX,Farm & Heavy Construction Machinery,Industrials
1120,V.F. Corporation,16.40,6.42B,VFC,Apparel Manufacturing,Consumer Discretionary
1121,MSA Safety Incorporated,165.26,6.41B,MSA,Security & Protection Services,Industrials
1122,OR Royalties Inc.,35.23,6.41B,OR,Gold,Materials
1123,"Kymera Therapeutics, Inc.",78.16,6.38B,KYMR,Biotechnology,Healthcare
1124,"Essential Properties Realty Trust, Inc.",30.38,6.38B,EPRT,REIT - Retail,Real Estate
1125,"TXNM Energy, Inc.",58.34,6.35B,TXNM,Utilities - Regulated Electric,Utilities
1126,"Paycom Software, Inc.",117.06,6.35B,PAYC,Software - Application,Technology
1127,Symbotic Inc.,50.42,6.34B,SYM,Specialty Industrial Machinery,Industrials
1128,Uranium Energy Corp.,12.92,6.33B,UEC,Uranium,Energy
1129,"Viasat, Inc.",46.58,6.33B,VSAT,Communication Equipment,Technology
1130,Terreno Realty Corporation,60.69,6.32B,TRNO,REIT - Industrial,Real Estate
1131,EnerSys,171.37,6.32B,ENS,Electrical Equipment & Parts,Industrials
1132,"Protagonist Therapeutics, Inc.",98.97,6.32B,PTGX,Biotechnology,Healthcare
1133,"Starwood Property Trust, Inc.",17.04,6.31B,STWD,REIT - Mortgage,Real Estate
1134,TeraWulf Inc.,14.89,6.31B,WULF,Capital Markets,Financials
1135,"Amentum Holdings, Inc.",25.84,6.30B,AMTM,Specialty Business Services,Industrials
1136,Birkenstock Holding plc,34.19,6.29B,BIRK,Footwear & Accessories,Consumer Discretionary
1137,"Viper Energy, Inc.",47.85,6.27B,VNOM,Oil & Gas Midstream,Energy
1138,TPG Inc.,39.10,6.27B,TPG,Asset Management,Financials
1139,"Southwest Gas Holdings, Inc.",86.71,6.27B,SWX,Utilities - Regulated Gas,Utilities
1140,"Archrock, Inc.",35.52,6.21B,AROC,Oil & Gas Equipment & Services,Energy
1141,Genpact Limited,36.58,6.21B,G,Information Technology Services,Technology
1142,"Morningstar, Inc.",156.81,6.21B,MORN,Financial Data & Stock Exchanges,Financials
1143,Repligen Corporation,110.12,6.20B,RGEN,Medical Instruments & Supplies,Healthcare
1144,Sealed Air Corporation,42.00,6.19B,SEE,Packaging & Containers,Consumer Discretionary
1145,FirstService Corporation,134.27,6.18B,FSV,Real Estate Services,Real Estate
1146,The Descartes Systems Group Inc.,69.62,6.17B,DSGX,Software - Application,Technology
1147,"Construction Partners, Inc.",109.04,6.16B,ROAD,Engineering & Construction,Industrials
1148,"Voya Financial, Inc.",66.20,6.14B,VOYA,Financial Conglomerates,Financials
1149,Rayonier Inc.,20.31,6.14B,RYN,REIT - Specialty,Real Estate
1150,The Middleby Corporation,128.63,6.07B,MIDD,Specialty Industrial Machinery,Industrials
1151,Boyd Gaming Corporation,80.16,6.05B,BYD,Resorts & Casinos,Consumer Discretionary
1152,"OneMain Holdings, Inc.",51.55,6.04B,OMF,Credit Services,Financials
1153,Hexcel Corporation,79.38,6.02B,HXL,Aerospace & Defense,Industrials
1154,"Janus Living, Inc.",22.88,6.02B,JAN,REIT - Residential,Real Estate
1155,Murphy Oil Corporation,42.12,6.02B,MUR,Oil & Gas Exploration & Production,Energy
1156,Lear Corporation,118.26,6.00B,LEA,Auto Parts,Consumer Discretionary
1157,Glaukos Corporation,103.18,5.99B,GKOS,Medical Devices,Healthcare
1158,PBF Energy Inc.,51.23,5.99B,PBF,Oil & Gas Refining & Marketing,Energy
1159,"Everus Construction Group, Inc.",117.31,5.98B,ECG,Engineering & Construction,Industrials
1160,"Belite Bio, Inc",152.07,5.98B,BLTE,Biotechnology,Healthcare
1161,Portland General Electric Company,51.71,5.98B,POR,Utilities - Regulated Electric,Utilities
1162,"Wyndham Hotels & Resorts, Inc.",79.43,5.97B,WH,Lodging,Consumer Discretionary
1163,First American Financial Corporation,58.47,5.96B,FAF,Insurance - Specialty,Financials
1164,"The Hanover Insurance Group, Inc.",169.38,5.95B,THG,Insurance - Property & Casualty,Financials
1165,GATX Corporation,167.60,5.95B,GATX,Rental & Leasing Services,Industrials
1166,Dutch Bros Inc.,46.69,5.93B,BROS,Restaurants,Consumer Discretionary
1167,Akso Health Group,2.305,5.92B,AHG,Medical Distribution,Healthcare
1168,"Mohawk Industries, Inc.",96.26,5.92B,MHK,"Furnishings, Fixtures & Appliances",Consumer Discretionary
1169,NewMarket Corporation,627.33,5.90B,NEU,Specialty Chemicals,Materials
1170,Churchill Downs Incorporated,84.52,5.89B,CHDN,Gambling,Consumer Discretionary
1171,Blue Owl Capital Inc.,8.84,5.88B,OWL,Asset Management,Financials
1172,"Planet Fitness, Inc.",73.80,5.88B,PLNT,Leisure,Consumer Discretionary
1173,Healthcare Realty Trust Incorporated,16.85,5.88B,HR,REIT - Healthcare Facilities,Real Estate
1174,"Cogent Biosciences, Inc.",36.10,5.86B,COGT,Biotechnology,Healthcare
1175,"Lithia Motors, Inc.",250.45,5.85B,LAD,Auto & Truck Dealerships,Consumer Discretionary
1176,Magnolia Oil & Gas Corporation,32.36,5.85B,MGY,Oil & Gas Exploration & Production,Energy
1177,Aura Minerals Inc.,70.07,5.85B,AUGO,Gold,Materials
1178,MarketAxess Holdings Inc.,164.12,5.83B,MKTX,Capital Markets,Financials
1179,"Brinker International, Inc.",133.67,5.82B,EAT,Restaurants,Consumer Discretionary
1180,"SiteOne Landscape Supply, Inc.",130.46,5.80B,SITE,Industrial Distribution,Industrials
1181,"CarMax, Inc.",40.86,5.79B,KMX,Auto & Truck Dealerships,Consumer Discretionary
1182,F.N.B. Corporation,16.18,5.78B,FNB,Banks - Regional,Financials
1183,"Lamb Weston Holdings, Inc.",41.60,5.78B,LW,Packaged Foods,Consumer Staples
1184,CNX Resources Corporation,40.58,5.78B,CNX,Oil & Gas Exploration & Production,Energy
1185,"Core Natural Resources, Inc.",113.23,5.77B,CNR,Thermal Coal,Energy
1186,"Life Time Group Holdings, Inc.",25.94,5.75B,LTH,Leisure,Consumer Discretionary
1187,"ServiceTitan, Inc.",60.39,5.75B,TTAN,Software - Application,Technology
1188,Ultrapar Participa̵̤es S.A.,5.37,5.74B,UGP,Oil & Gas Refining & Marketing,Energy
1189,Eagle Materials Inc.,182.32,5.73B,EXP,Building Materials,Materials
1190,Axalta Coating Systems Ltd.,26.85,5.73B,AXTA,Specialty Chemicals,Materials
1191,Blue Owl Technology Finance Corp.,12.27,5.71B,OTF,Asset Management,Financials
1192,"Central Bancompany, Inc.",23.75,5.71B,CBC,Banks - Regional,Financials
1193,"SOLV Energy, Inc.",28.19,5.70B,MWH,Infrastructure Operations,Industrials
1194,"Ryman Hospitality Properties, Inc.",90.51,5.70B,RHP,REIT - Hotel & Motel,Real Estate
1195,"GXO Logistics, Inc.",49.64,5.69B,GXO,Integrated Freight & Logistics,Industrials
1196,"Klaviyo, Inc.",18.67,5.69B,KVYO,Software - Application,Technology
1197,"Enact Holdings, Inc.",40.17,5.68B,ACT,Insurance - Specialty,Financials
1198,Paylocity Holding Corporation,105.39,5.68B,PCTY,Software - Application,Technology
1199,Mobileye Global Inc.,6.73,5.66B,MBLY,Auto Parts,Consumer Discretionary
1200,"Glacier Bancorp, Inc.",43.47,5.65B,GBCI,Banks - Regional,Financials
1201,"United Bankshares, Inc.",40.36,5.63B,UBSI,Banks - Regional,Financials
1202,Gates Industrial Corporation plc,22.11,5.61B,GTES,Specialty Industrial Machinery,Industrials
1203,"AppFolio, Inc.",155.68,5.60B,APPF,Software - Application,Technology
1204,"UiPath, Inc.",10.69,5.60B,PATH,Software - Infrastructure,Technology
1205,"Allegro MicroSystems, Inc.",30.12,5.58B,ALGM,Semiconductors,Technology
1206,Golar LNG Limited,55.03,5.58B,GLNG,Oil & Gas Midstream,Energy
1207,Cipher Digital Inc.,13.75,5.57B,CIFR,Information Technology Services,Technology
1208,ESAB Corporation,91.58,5.56B,ESAB,Metal Fabrication,Industrials
1209,Parsons Corporation,52.51,5.56B,PSN,Information Technology Services,Technology
1210,LandBridge Company LLC,72.02,5.55B,LB,Oil & Gas Equipment & Services,Energy
1211,"Dolby Laboratories, Inc.",58.03,5.54B,DLB,Specialty Business Services,Industrials
1212,MGIC Investment Corporation,25.72,5.53B,MTG,Insurance - Specialty,Financials
1213,Taylor Morrison Home Corporation,57.33,5.52B,TMHC,Residential Construction,Consumer Discretionary
1214,New Jersey Resources Corporation,54.59,5.51B,NJR,Utilities - Regulated Gas,Utilities
1215,"Grupo Aeroportuario del Centro Norte, S.A.B. de C.V.",113.84,5.50B,OMAB,Airports & Air Services,Industrials
1216,"Urban Outfitters, Inc.",61.21,5.49B,URBN,Apparel Retail,Consumer Discretionary
1217,"PTC Therapeutics, Inc.",66.13,5.47B,PTCT,Biotechnology,Healthcare
1218,B2Gold Corp.,4.250,5.47B,BTG,Gold,Materials
1219,Blackstone Secured Lending Fund,23.51,5.46B,BXSL,Asset Management,Financials
1220,Essent Group Ltd.,57.74,5.46B,ESNT,Insurance - Specialty,Financials
1221,"CG Oncology, Inc.",64.62,5.46B,CGON,Biotechnology,Healthcare
1222,Bausch + Lomb Corporation,15.37,5.45B,BLCO,Medical Instruments & Supplies,Healthcare
1223,"Ollie's Bargain Outlet Holdings, Inc.",89.24,5.44B,OLLI,Discount Stores,Consumer Staples
1224,"Flagstar Bank, National Association",13.05,5.43B,FLG,Banks - Regional,Financials
1225,"Floor & Decor Holdings, Inc.",50.27,5.42B,FND,Home Improvement Retail,Consumer Discretionary
1226,SSR Mining Inc.,26.45,5.42B,SSRM,Gold,Materials
1227,Blue Owl Capital Corporation,10.83,5.41B,OBDC,Asset Management,Financials
1228,"Apogee Therapeutics, Inc.",77.82,5.41B,APGE,Biotechnology,Healthcare
1229,Acushnet Holdings Corp.,92.16,5.40B,GOLF,Leisure,Consumer Discretionary
1230,Open Text Corporation,21.54,5.37B,OTEX,Software - Application,Technology
1231,Spire Inc.,90.68,5.36B,SR,Utilities - Regulated Gas,Utilities
1232,Balchem Corporation,166.95,5.35B,BCPC,Specialty Chemicals,Materials
1233,California Resources Corporation,68.87,5.34B,CRC,Oil & Gas Exploration & Production,Energy
1234,"Dropbox, Inc.",22.15,5.34B,DBX,Software - Infrastructure,Technology
1235,Enel Chile S.A.,3.860,5.34B,ENIC,Utilities - Regulated Electric,Utilities
1236,"Landstar System, Inc.",156.52,5.34B,LSTR,Integrated Freight & Logistics,Industrials
1237,"Mirum Pharmaceuticals, Inc.",88.44,5.34B,MIRM,Biotechnology,Healthcare
1238,Plexus Corp.,199.17,5.34B,PLXS,Electronic Components,Technology
1239,EquipmentShare.com Inc.,20.05,5.33B,EQPT,Rental & Leasing Services,Industrials
1240,"ONE Gas, Inc.",84.95,5.33B,OGS,Utilities - Regulated Gas,Utilities
1241,Seaboard Corporation,"5,554.43",5.32B,SEB,Conglomerates,Industrials
1242,"White Mountains Insurance Group, Ltd.","2,153.86",5.31B,WTM,Insurance - Property & Casualty,Financials
1243,ADT Inc.,6.46,5.30B,ADT,Security & Protection Services,Industrials
1244,Intercorp Financial Services Inc.,47.63,5.29B,IFS,Banks - Regional,Financials
1245,Turkcell Iletisim Hizmetleri A.S.,5.99,5.27B,TKC,Telecom Services,Communication Services
1246,"Caesars Entertainment, Inc.",25.85,5.26B,CZR,Resorts & Casinos,Consumer Discretionary
1247,Hut 8 Corp.,47.41,5.26B,HUT,Capital Markets,Financials
1248,"Compass, Inc.",7.08,5.26B,COMP,Real Estate Services,Real Estate
1249,Super Group (SGHC) Limited,10.43,5.25B,SGHC,Gambling,Consumer Discretionary
1250,Sonoco Products Company,53.19,5.25B,SON,Packaging & Containers,Consumer Discretionary
1251,Ingram Micro Holding Corporation,22.30,5.24B,INGM,Information Technology Services,Technology
1252,"Avis Budget Group, Inc.",148.45,5.23B,CAR,Rental & Leasing Services,Industrials
1253,Loar Holdings Inc.,55.87,5.23B,LOAR,Aerospace & Defense,Industrials
1254,Enpro Inc.,247.47,5.22B,NPO,Specialty Industrial Machinery,Industrials
1255,"Warrior Met Coal, Inc.",99.16,5.21B,HCC,Coking Coal,Materials
1256,"FTI Consulting, Inc.",170.34,5.21B,FCN,Consulting Services,Industrials
1257,Xenon Pharmaceuticals Inc.,54.48,5.20B,XENE,Biotechnology,Healthcare
1258,"Home BancShares, Inc.",26.43,5.20B,HOMB,Banks - Regional,Financials
1259,Bullish,34.43,5.19B,BLSH,Software - Infrastructure,Technology
1260,Black Hills Corporation,68.70,5.19B,BKH,Utilities - Regulated Gas,Utilities
1261,JFrog Ltd.,43.34,5.18B,FROG,Software - Application,Technology
1262,"Rhythm Pharmaceuticals, Inc.",75.82,5.18B,RYTM,Biotechnology,Healthcare
1263,RLI Corp.,56.32,5.18B,RLI,Insurance - Property & Casualty,Financials
1264,Transportadora de Gas del Sur S.A.,34.37,5.17B,TGS,Oil & Gas Integrated,Energy
1265,Ameris Bancorp,75.89,5.15B,ABCB,Banks - Regional,Financials
1266,Hess Midstream LP,39.79,5.15B,HESM,Oil & Gas Midstream,Energy
1267,Granite Construction Incorporated,118.14,5.14B,GVA,Engineering & Construction,Industrials
1268,Teleflex Incorporated,116.22,5.14B,TFX,Medical Instruments & Supplies,Healthcare
1269,Bruker Corporation,33.72,5.13B,BRKR,Medical Devices,Healthcare
1270,Celcuity Inc.,106.02,5.12B,CELC,Biotechnology,Healthcare
1271,Hancock Whitney Corporation,62.26,5.12B,HWC,Banks - Regional,Financials
1272,"Lyft, Inc.",12.86,5.12B,LYFT,Software - Application,Technology
1273,"Versant Media Group, Inc.",35.43,5.11B,VSNT,Entertainment,Communication Services
1274,D-Wave Quantum Inc.,13.90,5.10B,QBTS,Computer Hardware,Technology
1275,"Rush Enterprises, Inc.",66.08,5.09B,RUSHA,Auto & Truck Dealerships,Consumer Discretionary
1276,Rithm Capital Corp.,9.14,5.08B,RITM,REIT - Mortgage,Real Estate
1277,"UFP Industries, Inc.",89.68,5.08B,UFPI,Lumber & Wood Production,Materials
1278,Chemed Corporation,368.59,5.07B,CHE,Medical Care Facilities,Healthcare
1279,Sportradar Group AG,17.15,5.07B,SRAD,Software - Application,Technology
1280,Sensata Technologies Holding plc,34.79,5.07B,ST,Scientific & Technical Instruments,Technology
1281,"TG Therapeutics, Inc.",31.75,5.07B,TGTX,Biotechnology,Healthcare
1282,WEX Inc.,147.55,5.06B,WEX,Software - Infrastructure,Technology
1283,"Avantor, Inc.",7.41,5.05B,AVTR,Medical Instruments & Supplies,Healthcare
1284,Methanex Corporation,65.22,5.05B,MEOH,Chemicals,Materials
1285,Colliers International Group Inc.,99.86,5.05B,CIGI,Real Estate Services,Real Estate
1286,"Arcosa, Inc.",102.85,5.04B,ACA,Engineering & Construction,Industrials
1287,"MSC Industrial Direct Co., Inc.",90.30,5.04B,MSM,Industrial Distribution,Industrials
1288,"Resideo Technologies, Inc.",33.31,5.04B,REZI,Industrial Distribution,Industrials
1289,Elastic N.V.,48.52,5.02B,ESTC,Software - Application,Technology
1290,"Kodiak Gas Services, Inc.",58.47,5.02B,KGS,Oil & Gas Equipment & Services,Energy
1291,West Fraser Timber Co. Ltd.,63.83,5.00B,WFG,Lumber & Wood Production,Materials
1292,Kite Realty Group Trust,24.15,4.99B,KRG,REIT - Retail,Real Estate
1293,Louisiana-Pacific Corporation,71.29,4.98B,LPX,Building Products & Equipment,Industrials
1294,Vontier Corporation,35.11,4.97B,VNT,Scientific & Technical Instruments,Technology
1295,"Laureate Education, Inc.",34.78,4.96B,LAUR,Education & Training Services,Consumer Staples
1296,"Enphase Energy, Inc.",37.84,4.96B,ENPH,Solar,Technology
1297,Atlantic Union Bankshares Corporation,34.79,4.96B,AUB,Banks - Regional,Financials
1298,"Sabra Health Care REIT, Inc.",19.61,4.94B,SBRA,REIT - Healthcare Facilities,Real Estate
1299,Grupo Aval Acciones y Valores S.A.,4.130,4.94B,AVAL,Banks - Regional,Financials
1300,Bank OZK,44.52,4.91B,OZK,Banks - Regional,Financials
1301,Century Aluminum Company,49.65,4.91B,CENX,Aluminum,Materials
1302,Alkermes plc,29.39,4.90B,ALKS,Drug Manufacturers - Specialty & Generic,Healthcare
1303,Scholar Rock Holding Corporation,42.60,4.89B,SRRK,Biotechnology,Healthcare
1304,"Avnet, Inc.",59.73,4.89B,AVT,Electronics & Computer Distribution,Technology
1305,Global-E Online Ltd.,28.91,4.89B,GLBE,Internet Retail,Consumer Discretionary
1306,IPG Photonics Corporation,115.70,4.88B,IPGP,Semiconductor Equipment & Materials,Technology
1307,"Immunovant, Inc.",23.98,4.88B,IMVT,Biotechnology,Healthcare
1308,"Riot Platforms, Inc.",12.80,4.85B,RIOT,Capital Markets,Financials
1309,"Plains GP Holdings, L.P.",24.46,4.84B,PAGP,Oil & Gas Midstream,Energy
1310,BRP Inc.,66.25,4.84B,DOO,Recreational Vehicles,Consumer Discretionary
1311,MINISO Group Holding Limited,15.89,4.83B,MNSO,Specialty Retail,Consumer Discretionary
1312,Atour Lifestyle Holdings Limited,34.92,4.83B,ATAT,Lodging,Consumer Discretionary
1313,"Lantheus Holdings, Inc.",74.47,4.81B,LNTH,Drug Manufacturers - Specialty & Generic,Healthcare
1314,"Matson, Inc.",158.03,4.81B,MATX,Marine Shipping,Industrials
1315,Peabody Energy Corporation,39.50,4.81B,BTU,Thermal Coal,Energy
1316,"PACS Group, Inc.",30.59,4.81B,PACS,Medical Care Facilities,Healthcare
1317,Telecom Argentina S.A.,11.16,4.81B,TEO,Telecom Services,Communication Services
1318,Wix.com Ltd.,87.14,4.79B,WIX,Software - Infrastructure,Technology
1319,"Caris Life Sciences, Inc.",16.95,4.79B,CAI,Biotechnology,Healthcare
1320,VSE Corporation,170.89,4.78B,VSEC,Aerospace & Defense,Industrials
1321,Orla Mining Ltd.,14.60,4.77B,ORLA,Gold,Materials
1322,"Macy's, Inc.",17.94,4.77B,M,Department Stores,Consumer Discretionary
1323,"Telephone and Data Systems, Inc.",41.93,4.77B,TDS,Telecom Services,Communication Services
1324,"Terns Pharmaceuticals, Inc.",52.92,4.77B,TERN,Biotechnology,Healthcare
1325,Mercury General Corporation,86.02,4.76B,MCY,Insurance - Property & Casualty,Financials
1326,"Casella Waste Systems, Inc.",74.97,4.76B,CWST,Waste Management,Industrials
1327,"Core Scientific, Inc.",15.07,4.75B,CORZ,Software - Infrastructure,Technology
1328,Algonquin Power & Utilities Corp.,6.15,4.75B,AQN,Utilities - Diversified,Utilities
1329,Icahn Enterprises L.P.,7.45,4.75B,IEP,Oil & Gas Refining & Marketing,Energy
1330,Atmus Filtration Technologies Inc.,58.07,4.73B,ATMU,Auto Parts,Consumer Discretionary
1331,"Clearway Energy, Inc.",39.11,4.73B,CWEN,Utilities - Renewable,Utilities
1332,"Grupo Simec, S.A.B. de C.V.",-,4.73B,SIM,Steel,Materials
1333,Vornado Realty Trust,24.71,4.71B,VNO,REIT - Office,Real Estate
1334,"Clear Secure, Inc.",47.44,4.71B,YOU,Software - Application,Technology
1335,Liberty Energy Inc.,29.04,4.71B,LBRT,Oil & Gas Equipment & Services,Energy
1336,The Macerich Company,18.33,4.70B,MAC,REIT - Retail,Real Estate
