No.,Company Name,Stock Price,Market Cap,Symbol,Industry,Sector
41,Shell plc,92.17,271.48B,SHEL,Oil & Gas Integrated,Energy
42,"Applied Materials, Inc.",337.17,267.38B,AMAT,Semiconductor Equipment & Materials,Technology
43,Lam Research Corporation,211.41,264.00B,LRCX,Semiconductor Equipment & Materials,Technology
44,RTX Corporation,189.71,254.65B,RTX,Aerospace & Defense,Industrials
45,Philip Morris International Inc.,163.54,254.58B,PM,Tobacco,Consumer Staples
46,Morgan Stanley,158.39,251.50B,MS,Capital Markets,Financials
47,"The Goldman Sachs Group, Inc.",802.89,238.26B,GS,Capital Markets,Financials
48,Wells Fargo & Company,77.19,238.18B,WFC,Banks - Diversified,Financials
49,UnitedHealth Group Incorporated,259.02,235.11B,UNH,Healthcare Plans,Healthcare
50,"T-Mobile US, Inc.",210.82,232.29B,TMUS,Telecom Services,Communication Services
51,GE Vernova Inc.,853.16,229.95B,GEV,Specialty Industrial Machinery,Industrials
52,Linde plc,491.12,227.58B,LIN,Specialty Chemicals,Materials
53,Royal Bank of Canada,158.21,223.90B,RY,Banks - Diversified,Financials
54,International Business Machines Corporation,236.34,221.70B,IBM,Information Technology Services,Technology
55,McDonald's Corporation,305.90,217.31B,MCD,Restaurants,Consumer Discretionary
56,Intel Corporation,43.13,215.39B,INTC,Semiconductors,Technology
57,Verizon Communications Inc.,50.31,212.19B,VZ,Telecom Services,Communication Services
58,"PepsiCo, Inc.",153.04,209.15B,PEP,Beverages - Non-Alcoholic,Consumer Staples
59,AT&T Inc.,29.10,203.72B,T,Telecom Services,Communication Services
60,American Express Company,292.27,200.68B,AXP,Credit Services,Financials
61,TotalEnergies SE,89.87,193.09B,TTE,Oil & Gas Integrated,Energy
62,SAP SE,164.02,191.58B,SAP,Software - Application,Technology
63,"NextEra Energy, Inc.",91.40,190.43B,NEE,Utilities - Regulated Electric,Utilities
64,KLA Corporation,"1,443.21",189.17B,KLAC,Semiconductor Equipment & Materials,Technology
65,Amgen Inc.,348.77,188.01B,AMGN,Drug Manufacturers - General,Healthcare
66,Citigroup Inc.,107.38,187.84B,C,Banks - Diversified,Financials
67,"Fomento EconÃ³mico Mexicano, S.A.B. de C.V.",107.57,186.06B,FMX,Beverages - Brewers,Consumer Staples
68,"Mitsubishi UFJ Financial Group, Inc.",16.33,185.10B,MUFG,Banks - Diversified,Financials
69,Abbott Laboratories,103.99,180.70B,ABT,Medical Devices,Healthcare
70,"Grupo Televisa, S.A.B.",2.860,177.96B,TV,Telecom Services,Communication Services
71,BHP Group Limited,69.50,176.37B,BHP,Other Industrial Metals & Mining,Materials
72,Thermo Fisher Scientific Inc.,473.36,175.85B,TMO,Diagnostics & Research,Healthcare
73,Texas Instruments Incorporated,190.33,172.73B,TXN,Semiconductors,Technology
74,"The TJX Companies, Inc.",155.12,172.26B,TJX,Apparel Retail,Consumer Discretionary
75,"Gilead Sciences, Inc.",134.25,166.66B,GILD,Drug Manufacturers - General,Healthcare
76,"Salesforce, Inc.",179.31,165.50B,CRM,Software - Application,Technology
77,The Walt Disney Company,92.42,163.72B,DIS,Entertainment,Communication Services
78,ConocoPhillips,133.80,163.55B,COP,Oil & Gas Exploration & Production,Energy
79,The Charles Schwab Corporation,92.36,161.83B,SCHW,Capital Markets,Financials
